item,material,count
oil drums,NA,
"gas bottles, drums & buckets (>4L)",NA,
"beachuserelatedcosmeticbottlesand.containers,e.g.sunblock",plastic,
"bottles: bleach, cleaner",NA,
bottles: oil OR lube,NA,
buckets,plastic,
containers OR tubes,NA,
"cosmetics(bottles&containerse.g.sunlotion,shampoo,showergel,deodorant)",plastic,
crates,processedwood,
crates,plastic,
jerry cans (square plastic containers with handle),NA,
middle size containers,NA,
engine oil bottles & containers <50 cm,NA,
engine oil bottles & containers >50 cm,NA,
other cans (<4l),NA,
other jugs or containers,NA,
bagged dog faeces,NA,
dog poop (unbagged),NA,
sports drink,NA,
coffee other,NA,
alcohol other,NA,
oil,plastic,
slack OR coal,NA,
insulation & packaging,NA,
paint brushes,NA,
paint tins,NA,
cardboard,woodandpaper,
cardboard,paper/cardboard,
cardboard,paper,
books,NA,
magazines,NA,
paper OR napkins OR tissues,NA,
reciepts,paper,
paraffin OR wax,NA,
industrial pellets,NA,
resin pellets,NA,
threadlike user pellets,NA,
pens,plastic,
bandages,other,
bandages,plastic,
blister pack,NA,
combs OR hairbrushes,NA,
sunglasses,plastic,
contraceptives,other,
cotton bud sticks,NA,
drugs,NA,
ear plugs,NA,
femininehygeneitems,other,
hair tie,NA,
inhaler,sanitarywaste,
"other medical items (swabs, bandaging etc.)",NA,
personal care product tube,NA,
condoms,sanitarywaste,
condoms,rubber,
condoms,plastic,
injection gun containers,NA,
wet wipes,NA,
diapers,sanitarywaste,
diapers,plastic,
diapers,other,
tooth pick,NA,
toilet paper,NA,
toothbrushes,plastic,
dental flossers,NA,
panty liners,NA,
tampon applicators,NA,
tampons,sanitarywaste,
tampons,other,
sanitary towels,NA,
"sharp needles, lancets, metal catheters",NA,
drug paraphanalia OR syringes,NA,
deoderant,NA,
face mask,NA,
rope <1 meter,NA,
rope >1 meter,NA,
rope diameter <1 cm,NA,
rope diameter >1 cm,NA,
rope large,NA,
rope medium,NA,
rope small,NA,
strapping bands OR zip-ties,NA,
strapping bands (open),NA,
strapping bands (closed),NA,
rubber bands,NA,
sheeting <30cm,NA,
sheeting >60cm,NA,
sheeting 30-60 cm,NA,
agricultural tarpaulin and packaging,NA,
sheetlike user pellets,NA,
sheetlikeuserplastic(>1mm),plastic,
shotgun cartridges,NA,
sponge,plastic,
sponge,foam,
string,plastic,
cigar tips,NA,
cigarette filters,NA,
cigarette butts,NA,
cigarette packets,NA,
degraded lighters,NA,
tobacco sachets,NA,
cigarettes OR cigar tips,NA,
balloons,plastic,
balloons,other,
balloons,rubber,
tubes for fireworks,NA,
matches (& fireworks),NA,
football,plastic,
golf ball,NA,
pegs and chips,NA,
toys & party poppers,NA,
toys,plastic,
toys,other,
wooden trap,NA,
cables,metal,
