"materials","items","organization"
"DUMP SITE","Ash Pile","Nat Geo Source to Sea Expedition List"
"RESTAURANT","Street Food Stands","Nat Geo Source to Sea Expedition List"
"RESTAURANT","Coffee/Tea Shop","Nat Geo Source to Sea Expedition List"
"RESTAURANT","Fast Food","Nat Geo Source to Sea Expedition List"
"RESTAURANT","Sit-Down Restuarant","Nat Geo Source to Sea Expedition List"
"RESTAURANT","Other Restaurant","Nat Geo Source to Sea Expedition List"
"STORES","Convenience","Nat Geo Source to Sea Expedition List"
"STORES","Grocery","Nat Geo Source to Sea Expedition List"
"STORES","Street Vendor","Nat Geo Source to Sea Expedition List"
"STORES","Non-Food Retail","Nat Geo Source to Sea Expedition List"
"STORES","Other Store","Nat Geo Source to Sea Expedition List"
"WASTE BINS","Trash","Nat Geo Source to Sea Expedition List"
"WASTE BINS","Trash Overflowing","Nat Geo Source to Sea Expedition List"
"WASTE BINS","Trash for Store/Kiosk","Nat Geo Source to Sea Expedition List"
"WASTE BINS","Trash for Store/Kiosk Overflowing","Nat Geo Source to Sea Expedition List"
"WASTE BINS","General Recycling","Nat Geo Source to Sea Expedition List"
"WASTE BINS","General Recycling Overflowing","Nat Geo Source to Sea Expedition List"
"WASTE BINS","Plastic Recycling","Nat Geo Source to Sea Expedition List"
"WASTE BINS","Plastic Recycling Overflowing","Nat Geo Source to Sea Expedition List"
"WASTE BINS","Paper Recycling","Nat Geo Source to Sea Expedition List"
"WASTE BINS","Paper Recycling Overflowing","Nat Geo Source to Sea Expedition List"
"WASTE BINS","Metal Recycling","Nat Geo Source to Sea Expedition List"
"WASTE BINS","Metal Recycling Overflowing","Nat Geo Source to Sea Expedition List"
"WASTE BINS","Glass Recycling","Nat Geo Source to Sea Expedition List"
"WASTE BINS","Glass Recycling Overflowing","Nat Geo Source to Sea Expedition List"
"WASTE BINS","Compost","Nat Geo Source to Sea Expedition List"
"WASTE BINS","Compost Overflowing","Nat Geo Source to Sea Expedition List"
"WASTE BINS","Dumpster","Nat Geo Source to Sea Expedition List"
"WASTE BINS","Dumpster Overflowing","Nat Geo Source to Sea Expedition List"
"WASTE BINS","Other","Nat Geo Source to Sea Expedition List"
"INFORMAL SECTOR","Junk Shop","Nat Geo Source to Sea Expedition List"
"INFORMAL SECTOR","Recyclables Sorting Space","Nat Geo Source to Sea Expedition List"
"INFORMAL SECTOR","Informal Collection Space","Nat Geo Source to Sea Expedition List"
"INFORMAL SECTOR","Informal Sorting Space","Nat Geo Source to Sea Expedition List"
"INFORMAL SECTOR","Other","Nat Geo Source to Sea Expedition List"
"HYDROLOGY","Canal","Nat Geo Source to Sea Expedition List"
"HYDROLOGY","Stormdrain","Nat Geo Source to Sea Expedition List"
"OTHER","Land-Based Drift Card Drop Point","Nat Geo Source to Sea Expedition List"
"OTHER","Water-Based Drift Card Drop Point","Nat Geo Source to Sea Expedition List"
"OTHER","Quadrat Sample","Nat Geo Source to Sea Expedition List"
"OTHER","Schools","Nat Geo Source to Sea Expedition List"
"OTHER","Parks/Green Space","Nat Geo Source to Sea Expedition List"
"OTHER","Bus Stop","Nat Geo Source to Sea Expedition List"
"OTHER","Park Benches","Nat Geo Source to Sea Expedition List"
"OTHER","Religious Practice Site","Nat Geo Source to Sea Expedition List"
"FOOD PLASTIC","Other Food Plastic","Nat Geo Source to Sea Expedition List"
"PERSONAL CARE","Other Personal Care Product","Nat Geo Source to Sea Expedition List"
"TOBACCO PRODUCTS","Other Tobacco Product","Nat Geo Source to Sea Expedition List"
"DUMP SITE","Waste Accumulation Zone","Nat Geo Source to Sea Expedition List"
"OTHER","Air Sample Location","Nat Geo Source to Sea Expedition List"
"OTHER","Other Litter Item","Nat Geo Source to Sea Expedition List"
"OTHER","Test Item","Nat Geo Source to Sea Expedition List"
"OTHER","Popsicle Stick","Nat Geo Source to Sea Expedition List"
