"materials","items","organization"
"METAL MATERIALS","Aerosol/Spray Cans","Let's Do It World"
"METAL MATERIALS","Appliances: Household","Let's Do It World"
"METAL MATERIALS","Batteries: AA, AAA, etc.","Let's Do It World"
"METAL MATERIALS","Batteries: Car or boat","Let's Do It World"
"METAL MATERIALS","Beverage Cans (aluminum)","Let's Do It World"
"METAL MATERIALS","Cans: Food, Juice, Other (tin)","Let's Do It World"
"METAL MATERIALS","Caps & Lids (metal)","Let's Do It World"
"METAL MATERIALS","Cars & Car Parts","Let's Do It World"
"METAL MATERIALS","Cups, Plates, Tableware, Dishes (metal)","Let's Do It World"
"METAL MATERIALS","Drums: 55 gallon","Let's Do It World"
"METAL MATERIALS","Fishing: Sinkers, Lures, Hooks","Let's Do It World"
"METAL MATERIALS","Fishing: Traps & Pots","Let's Do It World"
"METAL MATERIALS","Forks, Knives, Spoons (cutlery)","Let's Do It World"
"METAL MATERIALS","Gas Bottles/Cylinder, Drums","Let's Do It World"
"METAL MATERIALS","Pipes & Rebar","Let's Do It World"
"METAL MATERIALS","Pull Tabs: Beverages","Let's Do It World"
"METAL MATERIALS","Scuba Weights","Let's Do It World"
"METAL MATERIALS","Strapping Bands (metal)","Let's Do It World"
"METAL MATERIALS","Wire, Wire Mesh, Barbed Wire","Let's Do It World"
"METAL MATERIALS","Wrappers (foil/metal)","Let's Do It World"
"METAL MATERIALS","Metal Fragments","Let's Do It World"
"METAL MATERIALS","Other Metal","Let's Do It World"
"RUBBER MATERIALS","Condoms","Let's Do It World"
"RUBBER MATERIALS","Gloves (rubber)","Let's Do It World"
"RUBBER MATERIALS","Inner-Tubes & Rubber Sheets","Let's Do It World"
"RUBBER MATERIALS","Rubber Bands","Let's Do It World"
"RUBBER MATERIALS","Tires/Tyres","Let's Do It World"
"RUBBER MATERIALS","Rubber Fragments","Let's Do It World"
"RUBBER MATERIALS","Other Rubber","Let's Do It World"
"WOOD MATERIALS","Fishing: traps & pots","Let's Do It World"
"WOOD MATERIALS","Furnishings (wood)","Let's Do It World"
"WOOD MATERIALS","Lumber (processed or cut/milled wood)","Let's Do It World"
"WOOD MATERIALS","Pallets","Let's Do It World"
"WOOD MATERIALS","Wood Fragments","Let's Do It World"
"WOOD MATERIALS","Other wood","Let's Do It World"
"CLOTH MATERIALS","Bags (burlap/hessian)","Let's Do It World"
"CLOTH MATERIALS","Bags (cloth)","Let's Do It World"
"CLOTH MATERIALS","Gloves (cloth)","Let's Do It World"
"CLOTH MATERIALS","Rope & String (cloth)","Let's Do It World"
"CLOTH MATERIALS","Towels, Rags","Let's Do It World"
"CLOTH MATERIALS","Cloth Fragments","Let's Do It World"
"CLOTH MATERIALS","Other Cloth","Let's Do It World"
"PAPER/CARDBOARD","Bags (paper)","Let's Do It World"
"PAPER/CARDBOARD","Cardboard: Packaging & Cartons","Let's Do It World"
"PAPER/CARDBOARD","Paper: Books, Newspapers, Magazines, etc.","Let's Do It World"
"PAPER/CARDBOARD","Paper/Cardboard Fragments","Let's Do It World"
"PAPER/CARDBOARD","Other Paper","Let's Do It World"
"MIXED MATERIALS","Bricks, Cinderblocks, Chunks of Cement","Let's Do It World"
"MIXED MATERIALS","Clothing","Let's Do It World"
"MIXED MATERIALS","Computer Equipment & Other Electronic Devices","Let's Do It World"
"MIXED MATERIALS","Fireworkds","Let's Do It World"
"MIXED MATERIALS","Shoes, Flip Flops, Sandals, Tennis, etc. ","Let's Do It World"
"MIXED MATERIALS","Tampons","Let's Do It World"
"MIXED MATERIALS","Toys","Let's Do It World"
"MIXED MATERIALS","Other Mixed","Let's Do It World"
