Items,Materials
"cups, food trays, wrappers, drink containers",paper/cardboard
newspapers & magazines,paper/cardboard
tubes for fireworks,paper/cardboard
paper fragments,paper/cardboard
paper,paper/cardboard
other paper items,paper/cardboard
corks,processed/worked wood
processed timber,processed/worked wood
crates,processed/worked wood
crab/lobster pots,processed/worked wood
fish boxes,processed/worked wood
"ice-cream sticks, chip forks, chopsticks, toothpicks",processed/worked wood
paint brushes,processed/worked wood
matches & fireworks,processed/worked wood
wood boards,processed/worked wood
beams/dunnage,processed/worked wood
wood (processed),processed/worked wood
other wood < 50cm,processed/worked wood
other wood > 50cm,processed/worked wood
other (specify),processed/worked wood
aerosol/speay cans industry,metal
"foil wrapper, aluminium foil",metal
"bottle caps, lids & pull tabs",metal
disposable BBQ's,metal
"appliances (refrigerators, washers, etc.)",metal
"tableware (plates, cups & cutlery)",metal
"fishing related (weights, sinkers, lures,hooks) ",metal
fish hook remains,metal
lobster/crab pots,metal
industrial scrap,metal
"drums, e.g. oil",metal
other cans (<4L),metal
"gas bottles, drums & buckets",metal
paint tins,metal
"wire, wire mesh, barbed wire",metal
barrels,metal
car parts/batteries,metal
household batteries,metal
other (metal),metal
other metal pieces < 50 cm,metal
other metal pieces > 50 cm,metal
bottles incl. pieces,glass/ceramics
jars incl. pieces,glass/ceramics
light bulbs,glass/ceramics
tableware (plates & cups),glass/ceramics
"construction material (brick, cement, pipes)",glass/ceramics
fluorescent light tubes,glass/ceramics
glass buoys,glass/ceramics
octopus pots,glass/ceramics
glass or ceramic fragments >2.5cm,glass/ceramics
large glass objects (specify),glass/ceramics
other glass items,glass/ceramics
"other medical items (swabs, bandaging, adhesive plaster etc.)",unidentified
slack/coal,unidentified
paraffin/wax,unidentified
oil/tar,unidentified
food waste (galley waste),unidentified
"various rubbish (worked wood, metal parts)",unidentified
"other (glass, metal, tar)<5mm",unidentified
