Material,Alias
Organic,Organic matter
Other,Other
Other,Others
OtherMaterial,Other Material
Otherplastic,Other plastic
OtherPlastic,Other Plastic
PA,PA
PA,Polyamide
PA,Nylon
PA,PA/nylon
PA;ER,PA;ER
PA;ER,PA/Epoxy resin
PAA,PAA
PAA,Polyacrylic acid
PAA,Poly(acrylic acid)
PAI,PAI
PAI,poly(trimellitamideimide)
PAM,PAM
PAM,Polyacrylamide
PAM,Poly(acrylamide)
PAN,PAN
PAN,Polyacrylonitrile
PAN,Acrylonitrile
PAN,Poly(acrylonitrile)
PBA,PBA
PBA,phenylbutric acid
PBT,PBT
PBT,Polybutylene terephthalate
PBT,Poly(butylene terephthalate)
PC,PC
PC,Polycarbonate
PDMS,PDMS
PDMS,Polydimethylsiloxane
PDMS,Poly(dimethylsiloxane) (PDMS)
PE,PE
PE,Polyethylene
PE,Poly(ethylene)
PE+PP,PE+PP
PE+PP,co PE-PP
PE+PS,PE+PS
PE+PS,Polyethylene+Polystyrene
PEEK-Poly(etheretherketone),PEEK - Poly(ether ether ketone)
PEK-Poly(etherketone),PEK - Poly(ether ketone)
PEKK-Poly(etherketoneketone),PEKK - Poly(ether ketone ketone)
PES,PES
PES,PESU
PEST,Polyester
PET,PET
PET,Polyethylene terephthalate
PET,PETE
PET,Poly(ethylene terephthalate)
PET-PEST,PET-PEST
PET+olefin,PET+olefin
PEVA,PEVA
PEVA,Polyethylene-vinyl acetate
PEVA,Ethylene-vinyl acetate
Phenolformaldehyde,Phenol formaldehyde
PI,PI
PI,Polyimide
PI,Polyimides
PLA,PLA
PLA,picolinic acid
Plasticadditive,Plastic additive
PMMA,Polymethyl methacrylate
PMMA,Poly(methyl methacrylate)
PMPS,PMPS
PMPS,Polymethylphenylsiloxane
PMPS,Poly(methylphenylsiloxane) (PMPS)
PoIy(1-chloro-1-butenylene)(Polychloroprene),PoIy(1-chloro-1-butenylene) (Polychloroprene)
Poly(_-methylstyrene),Poly(_-methylstyrene)
Poly(1-bromo-1-butenylene)(Polybromoprene),Poly(1-bromo-1-butenylene) (Polybromoprene)
"Poly(1-ethyl-1,4-butadiene)","Poly(1-ethyl-1,4-butadiene)"
Poly(1-pentenylene),Poly(1-pentenylene)
"Poly(1,2-butadiene)","Poly(1,2-butadiene)"
"Poly(1,4-butadiene)","Poly(1,4-butadiene)"
"Poly(1,4-butylenesuccinate)","Poly(1,4-butylene succinate)"
"Poly(1,4-pentadiene)","Poly(1,4-pentadiene)"
"Poly(1,6-hexylenesuccinate)","Poly(1,6-hexylene succinate)"
Poly(2-chloro-p-xylylene),Poly(2-chloro-p-xylylene)
Poly(2-chloroethylmethacrylate),Poly(2-chloroethyl methacrylate)
Poly(2-chlorostyrene),Poly(2-chlorostyrene)
Poly(2-cyanoethylacrylate),Poly(2-cyanoethyl acrylate)
Poly(2-ethoxyethylmethacrylate),Poly(2-ethoxyethyl methacrylate)
Poly(2-ethylhexylacrylate),Poly(2-ethylhexyl acrylate)
Poly(2-hydroxyethylacrylate),Poly(2-hydroxyethyl acrylate)
Poly(2-hydroxyethylmethacrylate),Poly(2-hydroxyethyl methacrylate)
Poly(2-hydroxypropylmethacrylate),Poly(2-hydroxypropyl methacrylate)
Poly(2-methoxystyrene),Poly(2-methoxystyrene)
Poly(2-methylbutene),Poly(2-methylbutene)
Poly(2-methylstyrene),Poly(2-methylstyrene)
Poly(2-phenylethylmethacrylate),Poly(2-phenylethyl methacrylate)
"Poly(2,2,3,3-Tetrafluoropropylacrylate)","Poly(2,2,3,3-Tetrafluoropropyl acrylate)"
"Poly(2,2,3,3-tetrafluoropropylmethacrylate)","Poly(2,2,3,3-tetrafluoropropyl methacrylate)"
"Poly(2,5-difluorostyrene)","Poly(2,5-difluorostyrene)"
"Poly(2,6-dimethyl-p-phenyleneoxide)","Poly(2,6-dimethyl-p-phenylene oxide)"
"Poly(2,6-diphenyl-p-phenyleneoxide)","Poly(2,6-diphenyl-p-phenylene oxide)"
"Poly(2,6,3',5'-tetrachlorobisphenolAcarbonate)","Poly(2,6,3',5'-tetrachloro bisphenol A carbonate)"
Poly(3-butoxypropyleneoxide),Poly(3-butoxypropylene oxide)
Poly(3-chlorostyrene),Poly(3-chlorostyrene)
Poly(3-hydroxybutyrate),Poly(3-hydroxybutyrate)
Poly(3-methoxypropyleneoxide),Poly(3-methoxypropylene oxide)
Poly(3-methylstyrene),Poly(3-methylstyrene)
Poly(4-bromostyrene),Poly(4-bromostyrene)
Poly(4-chlorophenylacrylate),Poly(4-chlorophenyl acrylate)
Poly(4-chlorostyrene),Poly(4-chlorostyrene)
Poly(4-fluorostyrene),Poly(4-fluorostyrene)
Poly(4-hydroxybutyrate),Poly(4-hydroxybutyrate)
Poly(4-methylstyrene),Poly(4-methylstyrene)
Poly(4-tert-butylcyclohexylmethacrylate),Poly(4-tert-butylcyclohexyl methacrylate)
Poly(4-tert-butylstyrene),Poly(4-tert-butylstyrene)
Poly(4-vinylphenol),Poly(4-vinyl phenol)
"Poly(4,4'-thiodiphenylenecarbonate)","Poly(4,4'-thiodiphenylene carbonate)"
Poly(azelaicanhydride),Poly(azelaic anhydride)
Poly(benzylacrylate),Poly(benzyl acrylate)
Poly(benzylmethacrylate),Poly(benzyl methacrylate)
Poly(bis-Adiglycidylether-alt-ethylenediamine),Poly(bis-A diglycidyl ether- alt - ethylenediamine)
Poly(bis-Adiglycidylether-alt-hexamethylenediamine),Poly(bis-A diglycidyl ether- alt - hexamethylenediamine)
Poly(bis-Adiglycidylether-alt-octamethylenediamine),Poly(bis-A diglycidyl ether- alt - octamethylenediamine)
Poly(bisphenolAcarbonate),Poly(bisphenol A carbonate)
Poly(BisphenolAisophthalate),Poly(Bisphenol A isophthalate)
Poly(BisphenolAterephthalate),Poly(Bisphenol A terephthalate)
Poly(bisphenolBcarbonate),Poly(bisphenol B carbonate)
Poly(bisphenolFcarbonate),Poly(bisphenol F carbonate)
Poly(butylacrylate),Poly(butyl acrylate)
Poly(butylcyanoacrylate),Poly(butyl cyanoacrylate)
Poly(butylethylene),Poly(butyl ethylene)
Poly(butylmethacrylate),Poly(butyl methacrylate)
Poly(butylvinylether),Poly(butyl vinyl ether)
Poly(butyleneadipate),Poly(butylene adipate)
Poly(butyleneisophthalate),Poly(butylene isophthalate)
Poly(butylenesebacate),Poly(butylene sebacate)
Poly(butylene),Poly(butylene)
Poly(caprolactone),Poly(caprolactone)
Poly(chlorotrifluoroethylene),Poly(chlorotrifluoroethylene)
Poly(cyanomethylacrylate),Poly(cyanomethyl acrylate)
Poly(cyclohexylacrylate),Poly(cyclohexyl acrylate)
Poly(cyclohexylmethacrylate),Poly(cyclohexyl methacrylate)
Poly(cyclohexylenedimethyleneterephthalate),Poly(cyclohexylenedimethylene terephthalate)
Poly(cyclohexylethylene),Poly(cyclohexylethylene)
Poly(decylmethacrylate),Poly(decylmethacrylate)
Poly(dibutylfumarate),Poly(dibutyl fumarate)
Poly(diethylfumarate),Poly(diethyl fumarate)
Poly(diethylsiloxane)(PDES),Poly(diethylsiloxane) (PDES)
Poly(dimethylfumarate),Poly(dimethyl fumarate)
Poly(dipropylfumarate),Poly(dipropyl fumarate)
Poly(dodecylmethacrylate),Poly(dodecylmethacrylate)
Poly(epichlorohydrin),Poly(epichlorohydrin)
Poly(etherethersulfone),Poly(ether ether sulfone)
Poly(Ether)ketones(POLYKETONES),Poly(Ether)ketones (POLYKETONES)
Poly(ethersulfone),Poly(ethersulfone)
Poly(ethylacrylate),Poly(ethyl acrylate)
Poly(ethylcyanoacrylate),Poly(ethyl cyanoacrylate)
Poly(ethylmethacrylate),Poly(ethyl methacrylate)
Poly(ethylvinylether),Poly(ethyl vinyl ether)
Poly(ethyleneadipate),Poly(ethylene adipate)
Poly(ethylenecarbonate),Poly(ethylene carbonate)
Poly(ethyleneglycol),Poly(ethylene glycol)
Poly(ethyleneisophthalate),Poly(ethylene isophthalate)
Poly(ethylenenaphthalate),Poly(ethylene naphthalate)
Poly(ethylenephthalate),Poly(ethylene phthalate)
Poly(ethylenesebacate),Poly(ethylene sebacate)
Poly(ethylenesuccinate),Poly(ethylene succinate)
Poly(ethylenesulfide),Poly(ethylene sulfide)
Poly(ethyleneketone),Poly(ethyleneketone)
Poly(heptylethylene),Poly(heptylethylene)
"Poly(hexamethyleneisophthalamide),PA6I","Poly(hexamethylene isophthalamide), PA 6I"
Poly(hexamethyleneoxide),Poly(hexamethylene oxide)
"Poly(hexamethyleneteraphthalamide),PA6T","Poly(hexamethylene teraphthalamide), PA 6T"
Poly(hexylacrylate),Poly(hexyl acrylate)
Poly(hexylcyanoacrylate),Poly(hexyl cyanoacrylate)
Poly(hexylmethacrylate),Poly(hexyl methacrylate)
Poly(hexylvinylether),Poly(hexyl vinyl ether)
Poly(hexylenesebacate),Poly(hexylene sebacate)
Poly(hexylethylene),Poly(hexylethylene)
Poly(isobutene),Poly(isobutene)
Poly(isobutylacrylate),Poly(isobutyl acrylate)
Poly(isobutylmethacrylate),Poly(isobutyl methacrylate)
Poly(isobutylvinylether),Poly(isobutyl vinyl ether)
Poly(isobutylethylene),Poly(isobutylethylene)
Poly(isopropylacrylate),Poly(isopropyl acrylate)
Poly(isopropylmethacrylate),Poly(isopropyl methacrylate)
Poly(isopropylvinylether),Poly(isopropyl vinyl ether)
Poly(isopropylethylene),Poly(isopropylethylene)
Poly(methacrylamide),Poly(methacrylamide)
Poly(methacrylicacid),Poly(methacrylic acid)
Poly(methacrylonitrile),Poly(methacrylonitrile)
Poly(methylacrylate),Poly(methyl acrylate)
Poly(methylcyanoacrylate),Poly(methyl cyanoacrylate)
Poly(methylisopropenylketone),Poly(methyl isopropenyl ketone)
Poly(methylvinylether),Poly(methyl vinyl ether)
Poly(N-acetylmethacrylamide),Poly(N-acetylmethacrylamide)
Poly(N-benzylmethacrylamide),Poly(N-benzyl methacrylamide)
Poly(N-isopropylacrylamide),Poly(N-isopropyl acrylamide)
Poly(N-octylacrylamide),Poly(N-octyl acrylamide)
Poly(N-phenylacrylamide),Poly(N-phenyl acrylamide)
Poly(N-sec-butylacrylamide),Poly(N-sec-butyl acrylamide)
Poly(N-tert-butylacrylamide),Poly(N-tert-butyl acrylamide)
Poly(N-tert-butylmethacrylamide),Poly(N-tert-butylmethacrylamide)
"Poly(nonanmethyleneteraphthalamide),PA9T","Poly(nonanmethylene teraphthalamide), PA 9T"
Poly(octadecylmethacrylate),Poly(octadecyl methacrylate)
Poly(octylacrylate),Poly(octyl acrylate)
Poly(octylcyanoacrylate),Poly(octyl cyanoacrylate)
Poly(octylmethacrylate),Poly(octyl methacrylate)
Poly(octylvinylether),Poly(octyl vinyl ether)
Poly(octylethylene),Poly(octylethylene)
Poly(oxymethylene-oxyethylene),Poly(oxymethylene-oxyethylene)
Poly(oxymethylene-oxytetramethylene),Poly(oxymethylene-oxytetramethylene)
Poly(p-pentamethylenedibenzoicanhydride),Poly(p-pentamethylenedibenzoic anhydride)
Poly(p-phenyleneoxide),Poly(p-phenylene oxide)
Poly(p-phenylenevinylene),Poly(p-phenylene vinylene)
Poly(p-phenylene),Poly(p-phenylene)
Poly(p-tetramethylenedibenzoicanhydride),Poly(p-tetramethylenedibenzoic anhydride)
Poly(p-xylene),Poly(p-xylene)
Poly(pentylethylene),Poly(pentylethylene)
Poly(phenylmethacrylate),Poly(phenyl methacrylate)
Poly(phenylsulfone),Poly(phenylsulfone)
Poly(propylacrylate),Poly(propyl acrylate)
Poly(propylmethacrylate),Poly(propyl methacrylate)
Poly(propylvinylether),Poly(propyl vinyl ether)
Poly(propyleneadipate),Poly(propylene adipate)
Poly(propylenecarbonate),Poly(propylene carbonate)
Poly(propyleneglycol),Poly(propylene glycol)
Poly(propylenesulfide),Poly(propylene sulfide)
Poly(propyleneketone),Poly(propyleneketone)
Poly(propylethylene),Poly(propylethylene)
Poly(sebacicanhydride),Poly(sebacic anhydride)
Poly(sec-butylacrylate),Poly(sec-butyl acrylate)
Poly(sec-butylmethacrylate),Poly(sec-butyl methacrylate)
Poly(sec-butylvinylether),Poly(sec-butyl vinyl ether)
Poly(stearylacrylate),Poly(stearyl acrylate)
Poly(tert-butylacrylate),Poly(tert-butyl acrylate)
Poly(tert-butylmethacrylate),Poly(tert-butyl methacrylate)
Poly(tert-butylethylene),Poly(tert-butylethylene)
Poly(tetrahydrofuran),Poly(tetrahydrofuran)
Poly(tetramethylbisphenolAcarbonate),Poly(tetramethyl bisphenol A carbonate)
"Poly(thio-1,4-phenylene)","Poly(thio-1,4-phenylene)"
Poly(trimethyleneglycol),Poly(trimethylene glycol)
Poly(trimethylenesuccinate),Poly(trimethylene succinate)
Poly(trimethyleneterephthalate),Poly(trimethylene terephthalate)
Poly(vinylacetate),Poly(vinyl acetate)
Poly(vinylbenzoate),Poly(vinyl benzoate)
Poly(vinylbromide),Poly(vinyl bromide)
Poly(vinylbutylsulfide),Poly(vinyl butyl sulfide)
Poly(vinylbutyral),Poly(vinyl butyral)
Poly(vinylbutyrate),Poly(vinyl butyrate)
Poly(vinylcaproate),Poly(vinyl caproate)
Poly(vinylethylketone),Poly(vinyl ethyl ketone)
Poly(vinylethylsulfide),Poly(vinyl ethyl sulfide)
Poly(vinylfluoride),Poly(vinyl fluoride)
Poly(vinylformal),Poly(vinyl formal)
Poly(vinylformate),Poly(vinyl formate)
Poly(vinylmethylketone),Poly(vinyl methyl ketone)
Poly(vinylmethylsulfide),Poly(vinyl methyl sulfide)
Poly(vinylphenylketone),Poly(vinyl phenyl ketone)
Poly(vinylphenylsulfide),Poly(vinyl phenyl sulfide)
Poly(vinylpropionate),Poly(vinyl propionate)
Poly(vinylpropylsulfide),Poly(vinyl propyl sulfide)
Poly(vinylpyrrolidone),Poly(vinyl pyrrolidone)
Poly(vinylstearate),Poly(vinyl stearate)
Poly(vinylvalerate),Poly(vinyl valerate)
Poly(vinylidenechloride),Poly(vinylidene chloride)
"Poly[(1,4-butanediol)-alt-(4,4'-diphenylmethanediisocyanate)]","Poly[(1,4-butanediol)-alt-(4,4'-diphenylmethane diisocyanate)]"
"Poly[(diethyleneglycol)-alt-(1,6-hexamethylenediisocyanate)]","Poly[(diethylene glycol)-alt-(1,6-hexamethylene diisocyanate)]"
"Poly[(ethyleneglycol)-alt-(4,4'-diphenylmethanediisocyanate)]","Poly[(ethylene glycol)-alt-(4,4'-diphenylmethane diisocyanate)]"
"Poly[(polytetrahydrofuran1000)-alt-(4,4'-diphenylmethanediisocyanate)]","Poly[(polytetrahydrofuran 1000)-alt-(4,4'-diphenylmethane diisocyanate)]"
"Poly[(tetraethyleneglycol)-alt-(1,6-hexamethylenediisocyanate)]","Poly[(tetraethylene glycol)-alt-(1,6-hexamethylene diisocyanate)]"
"Poly[1,1-bis(chloromethyl)trimethyleneoxide]","Poly[1,1-bis(chloromethyl)trimethylene oxide]"
Poly[di(n-butyl)itaconate],Poly[di(n-butyl) itaconate]
Poly[di(n-hexyl)itaconate],Poly[di(n-hexyl) itaconate]
Poly[di(n-propyl)itaconate],Poly[di(n-propyl) itaconate]
Poly[dimethylitaconate],Poly[dimethyl itaconate]
Poly[oxy(hexyloxymethyl)ethylene],Poly[oxy(hexyloxymethyl)ethylene]
Polyacetal-Polyoxymethylene,Polyacetal - Polyoxymethylene
Polyacrylamides,Polyacrylamides
Polyacrylates(Propenoates),Polyacrylates (Propenoates)
Polyacrylonitriles(Nitriles),Polyacrylonitriles (Nitriles)
Polyamides(POLYLACTAMS),Polyamides (POLYLACTAMS)
Polyanhydrides,Polyanhydrides
Polycarbonates,Polycarbonates
Polycyanoacrylates,Polycyanoacrylates
"Polydienes(Butadienes,Isoprenes)","Polydienes (Butadienes, Isoprenes)"
"PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)","PolyDiglycidyl Ethers (POLYEPOXIDES, POLYHYDROXYETHERS, Phenoxy)"
Polyesters,Polyesters
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)","Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)"
Polyethersulfones(POLYSULFONE),Polyethersulfones (POLYSULFONE)
Polyfumarates(POLYBUTENEDIOATES),Polyfumarates (POLYBUTENEDIOATES)
Polyglycolide,Polyglycolide
Polyhalodienes,Polyhalodienes
Polyhaloolefins(Vinylhalides),Polyhaloolefins (Vinylhalides)
Polyhalostyrenes,Polyhalostyrenes
Polyhydroxy(meth)acrylates,Polyhydroxy(meth)acrylates
polyhydroxyalkanoate(PHA),polyhydroxyalkanoate (PHA)
Polyisophthalates,Polyisophthalates
POLYITACONATES(POLYMETHYLENESUCCINATES),POLYITACONATES (POLYMETHYLENE SUCCINATES)
Polylacticacid,Polylactic acid
Polymethacrylamides,Polymethacrylamides
Polymethacrylates,Polymethacrylates
Polyolefins,Polyolefins
Polyolefins(POLYALKENES),Polyolefins (POLYALKENES)
Polyolefins(POLYALKENES),Polyolefins (POLYALKENES) 
Polyphenylenes(POLYAROMATICS),Polyphenylenes (POLYAROMATICS)
Polyphenylethers(POLYPHENYLENEOXIDE),Polyphenylethers (POLYPHENYLENEOXIDE)
Polysebacates,Polysebacates
Polysiloxanes,Polysiloxanes
Polystyrene,Polystyrene
"POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)","POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)"
Polystyrenes(POLYPHENYLETHYLENES),Polystyrenes (POLYPHENYLETHYLENES)
Polysuccinates,Polysuccinates
Polyterephthalates,Polyterephthalates
Polythioethers(Sulfides),Polythioethers (Sulfides)
Polyurethanes(isocyanates),Polyurethanes (isocyanates)
Polyvinylalcohols,Polyvinylalcohols
Polyvinylesters,Polyvinylesters
Polyvinylethers,Polyvinylethers
Polyvinylketones,Polyvinylketones
Polyvinylsulfides,Polyvinylsulfides
PP,PP
PP,Polypropylene
PP,Poly(propylene)
PPS,PPS
PPS,Polyphenylene sulfide
PPS,Polyphenylene sulfide (PPS)
PS,PS
PS,Polystyrene
PTFE,PTFE
PTFE,Polytetrafluoroethylene
PTFE,Poly(tetrafluoroethylene)
PTT,PTT
PTT,Polytrimethylene terephthalate
PU,PU
PU,Polyurethane
PU,PUR
PU,urethane
PVA,PVA
PVA,Polyvinyl alcohol
PVA,Poly(vinyl alcohol)
PVC,PVC
PVC,Polyvinyl chloride
PVC,Poly(vinyl chloride)
PVDF,PVDF
PVDF,poly(vinylidene flourine)
Rayon,Rayon
Rayon,Rayon
SAN,SAN
SAN,Styrene acrylonitrile resin
SAN,Styrene-acytonitrile (SAN)
SBR,SBR
SBR,Styrene-butadiene rubber
SBR,butadiene/butyl rubber
SBR,Styrene-butadiene
semi-syntheticcellulose,semi-synthetic cellulose
Silicone,Silicone
Styrene-butadiene,Styrene-butadiene
Styrene-isoprene,Styrene-isoprene
Styrene-maleic,Styrene-maleic
Urea-formaldehyde,Urea-formaldehyde
Vinyl,Vinyl
Vinyon,Vinyon
wool,wool
