Survey Sheet Name,Ecosystem,Substrate,Organization,Location,URL,Trash Survey
,,,,,,
Russian Waste Hub,Multiple,Unknown,Research,Russia,,Y
,,,,,,
Sarasota Dolphin Research Program Debris Team,Marine,Unknown,Research,US,,Y
,,,,,,
SMC,Marine,Sediment,Research,US,http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_debristypes,Y
,,,,,,
Sea Education Association,Marine,Unknown,Research,US,,Y
,,,,,,
SeaBin Data Collection,Marine,Unknown,Research,Global,,Y
,,,,,,
Shoreline and Recreational Activities,Multiple,Unknown,Research,Global,,N
,,,,,,
Site Assessment,Multiple,Unknown,Research,Global,,N
,,,,,,
Smoking Related Activities,Multiple,Unknown,Research,Global,,Y
,,,,,,
Surfrider Foundation Europe- Wastes Quantificatio,Multiple,Unknown,Non-profit,Europe,,Y
,,,,,,
Sustainable Seas Trust,Multiple,Unknown,Non-profit,Africa,,Y
,,,,,,
Te Tai Tokerau Debris Monitoring Project,Marine,Unknown,Multiple,New Zealand,,Y
,,,,,,
The Ocean Race,Marine,Unknown,Unknown,Global,,Y
,,,,,,
Tracking California's Trash,Inland,Sediment,Research,US,https://paperpile.com/shared/Hma3NY,Y
,,,,,,
USVI Marine Debris for NOAA,Marine,Unknown,Research,US,,Y
,,,,,,
van der Velde,Marine,Sediment,Research,Australia,https://paperpile.com/shared/B4Qrdy,Y
,,,,,,
Vincent,Inland,Sediment,Research,US,https://paperpile.com/shared/Xln5zn%20%C2%A0,Y
,,,,,,
Waste Receptacles,Multiple,Unknown,Research,Global,,N
,,,,,,
Weisboydlund Expedition,Marine,Unknown,Unknown,Greenland,,Y
,,,,,,
WildTeam Bangladesh,Multiple,Unknown,Non-profit,Bangladesh,,Y
,,,,,,
Williams,Inland,Sediment,Research,Netherlands,https://paperpile.com/shared/7Uw5Gd,Y
,,,,,,
Willis,Inland,Water,Research,Australia,https://paperpile.com/shared/RnZH1N,Y
,,,,,,
Zylstra,Inland,Sediment,Research,US,https://www.sciencedirect.com/science/article/abs/pii/S0140196312002625?via%3Dihub#appseca1,Y
