Manufacturer,Brand
Good Humor-Breyers,Good Humor
Good Humor-Breyers,Breyers 
Google,Google
Goya,Goya
Haribo,Haribo
Haribo,Starmix
Haribo,Tangfastics
Haribo,Supermix
Haribo,Maoam
Hasbro,NERF
Hasbro,Hasbro
Hasbro,Nerf
Heartland Consumer Products,Splenda
"Hedinger Brands, LLC",Dad's Root Beer and associated drinks
Heineken International,Amstel
Heineken International,Heineken
Heineken International,Karlovačko
Heineken International,Ohota
Hershey Company,Hershey
Hershey Company,Hershey's
Hershey Company,Reese
Hershey Company,Skor
Hershey Company,Twizzlers
Hershey Company,Allan
Hershey Company,Jolly Rancher
Hershey Company,Whoppers
Hershey Company,Ice Breakers
Hershey Company,Brookside
Hershey Company,Oh Henry!
Hershey Company,Glosette
Hershey Company,Barkthins
Hershey Company,Krave
Hershey Company,Pot Of Gold
Hershey Company,York
Hershey Company,Eat-More
Hershey Company,Bridge Mixture
Hershey Company,Cherry Blossom
Hershey Company,Chipits
Hershey Company,Hershey's Kisses
Hershey Company,Kit Kat
Hershey Company,mounds
Hershey Company,Almond Joy
Hershey Company,Pelo Rico
Hershey Company,Reese
Hershey Company,Reese's
Hershey Company,Reese's Butter Cup
Hershey Company,Reese's Pieces
Hershey Company,Amplify Snacks
Hershey Company,Skinny Pop
Hershey Company,Tyrrell's
Hershey Company,Paqui
Hershey Company,Heath
Hershey Company,Whatchamacallit
Hormel Foods Corporation,Hormel
Hormel Foods Corporation,Muscle Milk
Hormel Foods Corporation,Skippy Peanut Butter
Hormel Foods Corporation,Skippy
Hostess,Hostess
Hostess,Twinkie
Hostess,Dolly Madison
Hostess,Hickory Sticks
Ikea,Ikea
Imperial Brands,Ducados
Imperial Brands,Brandon's
Imperial Brands,Capstan
Imperial Brands,Carlton
Imperial Brands,Crowns
Imperial Brands,Davidoff
Imperial Brands,Embassy
Imperial Brands,Escort
Imperial Brands,Excellence
Imperial Brands,Fortuna
Imperial Brands,Gauloises
Imperial Brands,Gitanes
Imperial Brands,Horizon
Imperial Brands,John Player & Sons
Imperial Brands,John Player Best
Imperial Brands,Kool
Imperial Brands,L&B
Imperial Brands,Lambert & Butler
Imperial Brands,Mark Fernyhough
Imperial Brands,Maverick
Imperial Brands,Moon
Imperial Brands,Parker & Simpson
Imperial Brands,Peter Stuyvesant
Imperial Brands,Prima
Imperial Brands,R1
Imperial Brands,Regal
Imperial Brands,Richmond
Imperial Brands,Rodeo
Imperial Brands,Route 66
Imperial Brands,Royale
Imperial Brands,Salem
Imperial Brands,Superkings
Imperial Brands,USA GOLD
Imperial Brands,West
Imperial Brands,Winston
Imperial Brands,Woodbine
Imperial Brands,Winston Salem
Imperial Brands,Bali Shag
Imperial Brands,Drum
Imperial Brands,Golden Virginia
Imperial Brands,Players Gold Leaf
Imperial Brands,Champion Legendary Ruby
Imperial Brands,RizLa
Imperial Brands,Tally Ho
Imperial Brands,Skruf
Imperial Brands,Van Nelle
In N Out,In N Out
Indofood,Indomie
Indofood,Pop Mie
Indofood,Sarimi
Indofood,Supermi
Indofood,Chiki
Indofood,Chitato
Indofood,Jetz
Indofood,Qtela
Indofood,Trenz
Indofood,Dueto
Indofood,Bim
Indofood,Indomilk-Bim
Indofood,Promina
Indofood,Maggi goreng
Indofood,Ichi Ocha
Indofood,Cafela Latte
Indofood,Club
Indofood,Tekita
Indofood,Fruitamin
Indofood,Indomilk
Indofood,Indofood
Indofood,Indocafe
Indofood,indomte
Indofood,Sarimie
Indofood,Sun
J.M. Smuckers,Jif
J.M. Smuckers,J.M. Smuckers
J.M. Smuckers,Smuckers
J.M. Smuckers,Folgers
J.M. Smuckers,Knott's
JAB Holding Company,Coty Inc
JAB Holding Company,Peet's Coffee
JAB Holding Company,Mighty Leaf Tea
JAB Holding Company,Caribou Coffee
JAB Holding Company,Jacobs Douwe Egberts
JAB Holding Company,Einstein Bros. Bagels
JAB Holding Company,Keurig Dr Pepper
JAB Holding Company,Krispy Kreme
JAB Holding Company,Panera
JAB Holding Company,Bruegger's
JAB Holding Company,Pret A Manger
Jack in the Box,Jack in the Box
Johnson & Johnson,Johnson & Johnson
Johnson & Johnson,Aveeno
Johnson & Johnson,Band-Aid
Johnson & Johnson,Benadryl
Johnson & Johnson,Benylin
Johnson & Johnson,Clean and Clear
Johnson & Johnson,Desitin
Johnson & Johnson,Imodium
Johnson & Johnson,Baby lotion
Johnson & Johnson,Baby powder
Johnson & Johnson,Baby wipes
Johnson & Johnson,Baby cream
Johnson & Johnson,Baby oil
Johnson & Johnson,Lactaid
Johnson & Johnson,Listerine
Johnson & Johnson,Lubriderm
Johnson & Johnson,Maui moisture
Johnson & Johnson,Motrin
Johnson & Johnson,Nicoderm
Johnson & Johnson,Nicorette
Johnson & Johnson,Nizoral
Johnson & Johnson,OGX
Johnson & Johnson,Penaten
Johnson & Johnson,Pepcid
Johnson & Johnson,Polysporin
Johnson & Johnson,Reactine
Johnson & Johnson,RoC
Johnson & Johnson,Rogaine
Johnson & Johnson,Sinutab
Johnson & Johnson,Sudafed
Johnson & Johnson,Tylenol
Johnson & Johnson,Visine
Johnson & Johnson,neutrOgena 
Johnson & Johnson,Purell
Johnsonville,Johnsonville
Just Born,Mike & Ike's
Just Born,Peeps
Just Born,Zours
Just Born,Hot Tamales
Kellogg Company,Kellogg Company
Kellogg Company,Cheez-It
Kellogg Company,Pop Tarts
Kellogg Company,Kashi
Kellogg Company,"Bear Naked, Inc."
Kellogg Company,Chips Deluxe
Kellogg Company,Eggo
Kellogg Company,Famous Amos
Kellogg Company,Fruit Winders
Kellogg Company,Fruity Snacks
Kellogg Company,Kashi
Kellogg Company,Keebler
Kellogg Company,Krave
Kellogg Company,Mother's Cookies
Kellogg Company,Morningstar Farms
Kellogg Company,Club Crackers
Kellogg Company,Little Brownie Bakers
Kellogg Company,Girl Scout Cookies
Kellogg Company,Murray Cookies
Kellogg Company,Nutri-Grain
Kellogg Company,Pop-Tarts
Kellogg Company,Pringles
Kellogg Company,Rxbar
Kellogg Company,Sunshine Biscuits
Kellogg Company,Town House
Kellogg Company,Zesta Crackers
Kellogg Company,Kellogg
Kellogg Company,Nutrigrain
Kellogg Company,Rice Krispies
Keurig Dr Pepper,Crush
Keurig Dr Pepper,Hawaiian Punch
Keurig Dr Pepper,Motts
Keurig Dr Pepper,Mott's
Keurig Dr Pepper,Peñafiel
Keurig Dr Pepper,RC Cola
Keurig Dr Pepper,Schweppes
Keurig Dr Pepper,Snapple
Keurig Dr Pepper,Squirt
Keurig Dr Pepper,Sunkist
Keurig Dr. Pepper,Orangina
Keurig Dr. Pepper,Dr. Pepper
Keurig Dr. Pepper,Keurig
KFC,KFC
Kikkoman,Kikkoman
Kimberly-Clark,Cottonelle
Kimberly-Clark,Depend
Kimberly-Clark,GoodNites
Kimberly-Clark,Huggies
Kimberly-Clark,Little Swimmers
Kimberly-Clark,Kleenex
Kimberly-Clark,Kotex
Kimberly-Clark,Poise
Kimberly-Clark,Pull-Ups
Kimberly-Clark,Scott
Kimberly-Clark,VIVA
Kimberly-Clark,scottex
Kind,Kind
Kisko Products,Mr. Freeze
KP Snacks / Intersnack,KP Snacks
KP Snacks / Intersnack,Brannigans
KP Snacks / Intersnack,Butterkist
KP Snacks / Intersnack,Choc Dips
KP Snacks / Intersnack,Discos
KP Snacks / Intersnack,Frisps
KP Snacks / Intersnack,Hula Hoops
KP Snacks / Intersnack,KP Jacks
KP Snacks / Intersnack,KP Nuts
KP Snacks / Intersnack,McCoy's
KP Snacks / Intersnack,Nik Naks
KP Snacks / Intersnack,Penn State
KP Snacks / Intersnack,Phileas Fogg
KP Snacks / Intersnack,Pom-Bear
KP Snacks / Intersnack,Roysters
KP Snacks / Intersnack,Skips
KP Snacks / Intersnack,Space Raiders
KP Snacks / Intersnack,Velvet Crunch
KP Snacks / Intersnack,Wheat Crunchies
KP Snacks / Intersnack,KP Skydivers
Kraft Heinz,Cadbury
Kraft Heinz,Oscar Meyer
Kraft Heinz,Heinz
Kraft Heinz,Jello
Kraft Heinz,Jell-O
Kraft Heinz,Kool-Aid
Kraft Heinz,Kool Aid
Kraft Heinz,Koolaid
Kraft Heinz,Kraft
Kraft Heinz,Kraft Heinz
Kraft Heinz,Lunchable
Kraft Heinz,philadelphia
Kraft Heinz,Planters
Kraft Heinz,Saus Sambal ABC
Kraft Heinz,Sonho de Valsa
Kraft Heinz,GOlden Circle
Land O'Lakes,Land O'Lakes
Les Eaux Minérales d'Oulmès ,Bahia
Lidl,Milbona
Lidl,Floralys
Lidl,Saguaro
Lidl,SoleVita
Lidl,Sondey
Lindt,Ghirardelli
Lindt,Lindt
Lindt,Lindor
Linteo,Linteo
Living Essentials,5 Hour Energy
L'Oreal,Garnier
L'Oreal,Kiehl's
L'Oreal,Lancome
L'Oreal,L'Oreal
L'Oreal,Maybelline
Mark Anthony International,Mike's Hard Lemonade
Mars Incorporated,Uncle Ben's
Mars Incorporated,Misfits
Mars Incorporated,Natural defence
Mars Incorporated,Whiskas
Mars Incorporated,Cesar
Mars Incorporated,Pedigree
Mars Incorporated,Snickers
Mars Incorporated,Temptations
Mars Incorporated,Maltesers
Mars Incorporated,Royal Canin
Mars Incorporated,Dove
Mars Incorporated,Bounty
Mars Incorporated,Nutro
Mars Incorporated,Extra
Mars Incorporated,3 Musketeers
Mars Incorporated,Wrigley's
Mars Incorporated,Pay Day
Mars Incorporated,5 Gum
Mars Incorporated,Twix
Mars Incorporated,3 Musketeers
Mars Incorporated,Bounty
Mars Incorporated,Celebrations
Mars Incorporated,Cirku
Mars Incorporated,CocoaVia
Mars Incorporated,Combos
Mars Incorporated,Dolmio
Mars Incorporated,Dove
Mars Incorporated,Ebly
Mars Incorporated,Ethel M
Mars Incorporated,FLAVIA
Mars Incorporated,Fling
Mars Incorporated,Flyte
Mars Incorporated,Galaxy
Mars Incorporated,Galaxy Bubbles
Mars Incorporated,Galaxy Minstrels
Mars Incorporated,Galaxy Ripple
Mars Incorporated,goodnessKNOWS
Mars Incorporated,Kudos
Mars Incorporated,M-Azing
Mars Incorporated,M&M's
Mars Incorporated,M&M
Mars Incorporated,Maltesers
Mars Incorporated,Marathon
Mars Incorporated,Mars
Mars Incorporated,Masterfoods
Mars Incorporated,Milky Way
Mars Incorporated,Minstrels
Mars Incorporated,Munch
Mars Incorporated,Promite
Mars Incorporated,Revels
Mars Incorporated,Seeds of Change
Mars Incorporated,Snickers
Mars Incorporated,Topic
Mars Incorporated,Tracker
Mars Incorporated,Treets
Mars Incorporated,Twix
Mars Incorporated,Uncle Ben's Rice
Mars Incorporated,5
Mars Incorporated,Airwaves
Mars Incorporated,Alpine
Mars Incorporated,Altoids
Mars Incorporated,Big Red
Mars Incorporated,Bubble Tape
Mars Incorporated,Doublemint
Mars Incorporated,Eclipse
Mars Incorporated,Eclipse Ice
Mars Incorporated,Excel
Mars Incorporated,Extra
Mars Incorporated,Freedent
Mars Incorporated,Hubba Bubba
Mars Incorporated,Juicy Fruit
Mars Incorporated,Life Savers
Mars Incorporated,Lockets
Mars Incorporated,Orbit
Mars Incorporated,Ouch!
Mars Incorporated,Skittles
Mars Incorporated,Spearmint
Mars Incorporated,Starburst
Mars Incorporated,Surpass
Mars Incorporated,Tunes
Mars Incorporated,Wrigley's
Mars Incorporated,Winterfresh
Mars Incorporated,ADVANCE
Mars Incorporated,Aquarium Pharmaceuticals
Mars Incorporated,Buckeye Nutrition
Mars Incorporated,Cesar
Mars Incorporated,Chappi
Mars Incorporated,Dreamies
Mars Incorporated,Eukanuba
Mars Incorporated,Exelpet
Mars Incorporated,Frolic
Mars Incorporated,Good-o
Mars Incorporated,Greenies
Mars Incorporated,Iams
Mars Incorporated,James Wellbeloved
Mars Incorporated,Kit-e-kat
Mars Incorporated,My Dog
Mars Incorporated,Natura
Mars Incorporated,Nutro Products
Mars Incorporated,Pedigree
Mars Incorporated,Optimum
Mars Incorporated,Pill Pockets
Mars Incorporated,Royal Canin
Mars Incorporated,Schmackos
Mars Incorporated,Sheba
Mars Incorporated,Spillers
Mars Incorporated,Teasers
Mars Incorporated,Techni-Cal
Mars Incorporated,Whiskas
Mars Incorporated,Winergy
Mars Incorporated,Wisdom Panel
Mars Incorporated,Juicy Fruit
Mars Incorporated,Lifesavers
Mayora Indah,Danisa
Mayora Indah,Choki-Choki
Mayora Indah,Energen
Mayora Indah,Mi Gelas
Mayora Indah,Roma Better
Mayora Indah,Roma Slai Olai
Mayora Indah,Roma Chess Kress
Mayora Indah,Roma Coffee Joy
Mayora Indah,Roma Malkist Crackers
Mayora Indah,Roma Malkist Abon
Mayora Indah,Roma Sari Gandum Sandwich
Mayora Indah,Roma Cream Crackers
Mayora Indah,Roma Biskuit Kelapa
Mayora Indah,Malkist Chocolate
Mayora Indah,Kopiko
Mayora Indah,Kis
Mayora Indah,Plonk
Mayora Indah,Tamarin & JuizyMilk
Mayora Indah,Astor
Mayora Indah,Beng-Beng
Mayora Indah,Beng-Beng Max
Mayora Indah,Roma ZuperKeju
Mayora Indah,Roma Superstar
Mayora Indah,Kopi Ayam Merak
Mayora Indah,Kopiko Brown Coffee
Mayora Indah,Kopiko Blanca
Mayora Indah,Kopiko White Mocca
Mayora Indah,Tora Bika Duo Kopi
Mayora Indah,Tora Bika Oke Kopi
Mayora Indah,Tora Bika 3 in 1
Mayora Indah,Tora Bika Jahe Susu
Mayora Indah,Tora Bika Cappuccino
Mayora Indah,Tora BikaMoka
Mayora Indah,Roma Marie Susu
Mayora Indah,Tora Bika Susu Full Cream
Mayora Indah,Gula
Mayora Indah,Kopiko Black
Mayora Indah,Kopiko Cappuccino
Mayora Indah,Kopiko L.A
Mayora Indah,Kopiko Double Cups
Mayora Indah,Kopiko 78 °C
Mayora Indah,Vitazone
Mayora Indah,The Pucuk Harum
Mayora Indah,Q Guava
Mayora Indah,Kopiko IcedBlanca
Mayora Indah,Kopiko IcedBlack
Mayora Indah,Kopiko IcedBrown
Mayora Indah,Le Minerale
Mayora Indah,Roma Biskuit
Mayora Indah,Roma Kelapa
Mayora Indah,Roma Malkist Cokelat 
Mayora Indah,Roma Sari Gandum
McDonalds,McDonalds
McDonalds,Pop
McDonalds,Burger
McDonalds,Fries
McDonalds,Dessert
McDonalds,Condiment package
McKee Foods,McKee
McKee Foods,Lil Debbie
McKee Foods,Little Debbie
Merisant Company,Equal
Monarch Beverage Company,Acute Fruit
Monarch Beverage Company,American Cola
Monarch Beverage Company,Bubble Up
Monarch Beverage Company,COMOTION
Monarch Beverage Company,Kickapoo Joy Juice
Monarch Beverage Company,Mason's Root Beer
Monarch Beverage Company,Nesbitt's
Monarch Beverage Company,NTrinsic
Monarch Beverage Company,Planet Cola
Monarch Beverage Company,Rush Energy Drink
