Material,Alias
Poly(ethyl acrylate),Poly(ethyl acrylate)
Poly(2-ethylhexyl acrylate),Poly(2-ethylhexyl acrylate)
Poly(hexyl acrylate),Poly(hexyl acrylate)
Poly(isobutyl acrylate),Poly(isobutyl acrylate)
Poly(isopropyl acrylate),Poly(isopropyl acrylate)
Poly(methyl acrylate),Poly(methyl acrylate)
Poly(octyl acrylate),Poly(octyl acrylate)
Poly(propyl acrylate),Poly(propyl acrylate)
Poly(sec-butyl acrylate),Poly(sec-butyl acrylate)
Poly(stearyl acrylate),Poly(stearyl acrylate)
Poly(tert-butyl acrylate),Poly(tert-butyl acrylate)
"Poly(2,2,3,3-Tetrafluoropropyl acrylate)","Poly(2,2,3,3-Tetrafluoropropyl acrylate)"
Poly(methacrylonitrile),Poly(methacrylonitrile)
Poly(butylene adipate),Poly(butylene adipate)
Poly(ethylene adipate),Poly(ethylene adipate)
Poly(propylene adipate),Poly(propylene adipate)
Poly(butylene),Poly(butylene)
Poly(butyl ethylene),Poly(butyl ethylene)
Poly(cyclohexylethylene),Poly(cyclohexylethylene)
Poly(heptylethylene),Poly(heptylethylene)
Poly(hexylethylene),Poly(hexylethylene)
Poly(isobutene),Poly(isobutene)
Poly(isobutylethylene),Poly(isobutylethylene)
Poly(isopropylethylene),Poly(isopropylethylene)
Poly(2-methylbutene),Poly(2-methylbutene)
Poly(octylethylene),Poly(octylethylene)
Poly(pentylethylene),Poly(pentylethylene)
Poly(propylethylene),Poly(propylethylene)
Poly(tert-butylethylene),Poly(tert-butylethylene)
Nylon 3 - Poly(propiolactam),Nylon 3 - Poly(propiolactam)
Nylon 6 - Poly(caprolactam),Nylon 6 - Poly(caprolactam)
Nylon 8 - Polycapryllactam,Nylon 8 - Polycapryllactam
Nylon 10 - Poly(decano-10-lactam),Nylon 10 - Poly(decano-10-lactam)
Nylon 11 - Poly(undecano-11-lactam),Nylon 11 - Poly(undecano-11-lactam)
Nylon 12 - Poly(dodecano-12-lactam),Nylon 12 - Poly(dodecano-12-lactam)
"Nylon 4,6 - Poly(tetramethylene adipamide)","Nylon 4,6 - Poly(tetramethylene adipamide)"
"Nylon 6,6 - Poly(hexamethylene adipamide)","Nylon 6,6 - Poly(hexamethylene adipamide)"
"Nylon 6,9 - Poly(hexamethylene azelamide)","Nylon 6,9 - Poly(hexamethylene azelamide)"
"Nylon 6,10 - Poly(hexamethylene sebacamide)","Nylon 6,10 - Poly(hexamethylene sebacamide)"
"Nylon 6,12 - Poly(hexamethylene dodecanediamide)","Nylon 6,12 - Poly(hexamethylene dodecanediamide)"
"Nylon 10,10 - Poly(decamethylene sebacamide)","Nylon 10,10 - Poly(decamethylene sebacamide)"
"Poly(hexamethylene isophthalamide), PA 6I","Poly(hexamethylene isophthalamide), PA 6I"
"Poly(hexamethylene teraphthalamide), PA 6T","Poly(hexamethylene teraphthalamide), PA 6T"
Kevlar - Polyaramide,Kevlar - Polyaramide
Nomex - Poly(m-phenylene terephthalamide),Nomex - Poly(m-phenylene terephthalamide)
"Poly(nonanmethylene teraphthalamide), PA 9T","Poly(nonanmethylene teraphthalamide), PA 9T"
Poly(p-pentamethylenedibenzoic anhydride),Poly(p-pentamethylenedibenzoic anhydride)
Poly(p-tetramethylenedibenzoic anhydride),Poly(p-tetramethylenedibenzoic anhydride)
Poly(sebacic anhydride),Poly(sebacic anhydride)
Poly(azelaic anhydride),Poly(azelaic anhydride)
"Poly(1,2-butadiene)","Poly(1,2-butadiene)"
"Poly(1,4-butadiene)","Poly(1,4-butadiene)"
"Poly(1-ethyl-1,4-butadiene)","Poly(1-ethyl-1,4-butadiene)"
"1,4-Polyisoprene (cis and trans)(Latex)","1,4-Polyisoprene (cis and trans)(Latex)"
"Poly(1,4-pentadiene)","Poly(1,4-pentadiene)"
Poly(1-pentenylene),Poly(1-pentenylene)
Poly(dimethyl fumarate),Poly(dimethyl fumarate)
Poly(dibutyl fumarate),Poly(dibutyl fumarate)
Poly(diethyl fumarate),Poly(diethyl fumarate)
Poly(dipropyl fumarate),Poly(dipropyl fumarate)
Poly(bisphenol A carbonate),Poly(bisphenol A carbonate)
"Poly(4,4'-thiodiphenylene carbonate)","Poly(4,4'-thiodiphenylene carbonate)"
Poly(bisphenol B carbonate),Poly(bisphenol B carbonate)
Poly(bisphenol F carbonate),Poly(bisphenol F carbonate)
Poly(ethylene carbonate),Poly(ethylene carbonate)
Poly(propylene carbonate),Poly(propylene carbonate)
"Poly(2,6,3',5'-tetrachloro bisphenol A carbonate)","Poly(2,6,3',5'-tetrachloro bisphenol A carbonate)"
Poly(tetramethyl bisphenol A carbonate),Poly(tetramethyl bisphenol A carbonate)
Rayon,Rayon
Cellulose Nitrate,Cellulose Nitrate
Methyl Cellulose,Methyl Cellulose
Ethyl Cellulose,Ethyl Cellulose
Poly(chlorotrifluoroethylene),Poly(chlorotrifluoroethylene)
Poly(vinyl bromide),Poly(vinyl bromide)
Poly(vinyl fluoride),Poly(vinyl fluoride)
Poly(vinylidene chloride),Poly(vinylidene chloride)
Poly(methyl cyanoacrylate),Poly(methyl cyanoacrylate)
Poly(ethyl cyanoacrylate),Poly(ethyl cyanoacrylate)
Poly(butyl cyanoacrylate),Poly(butyl cyanoacrylate)
Poly(hexyl cyanoacrylate),Poly(hexyl cyanoacrylate)
Poly(octyl cyanoacrylate),Poly(octyl cyanoacrylate)
Bisphenol-A diglycidyl ether epoxy resin,Bisphenol-A diglycidyl ether epoxy resin
Bisphenol-F diglycidyl ether epoxy resin,Bisphenol-F diglycidyl ether epoxy resin
Poly(bis-A diglycidyl ether- alt - ethylenediamine),Poly(bis-A diglycidyl ether- alt - ethylenediamine)
Poly(bis-A diglycidyl ether- alt - hexamethylenediamine),Poly(bis-A diglycidyl ether- alt - hexamethylenediamine)
Poly(bis-A diglycidyl ether- alt - octamethylenediamine),Poly(bis-A diglycidyl ether- alt - octamethylenediamine)
Poly(caprolactone),Poly(caprolactone)
Poly(ethylene naphthalate),Poly(ethylene naphthalate)
Poly(ethylene phthalate),Poly(ethylene phthalate)
Polyglycolide,Polyglycolide
Poly(3-hydroxybutyrate),Poly(3-hydroxybutyrate)
Poly(4-hydroxybutyrate),Poly(4-hydroxybutyrate)
Polylactic acid,Polylactic acid
Polyacetal - Polyoxymethylene,Polyacetal - Polyoxymethylene
Poly(3-butoxypropylene oxide),Poly(3-butoxypropylene oxide)
Poly(epichlorohydrin),Poly(epichlorohydrin)
Poly(ethylene glycol),Poly(ethylene glycol)
Poly(hexamethylene oxide),Poly(hexamethylene oxide)
Poly(3-methoxypropylene oxide),Poly(3-methoxypropylene oxide)
Poly[oxy(hexyloxymethyl)ethylene],Poly[oxy(hexyloxymethyl)ethylene]
Poly(oxymethylene-oxyethylene),Poly(oxymethylene-oxyethylene)
Poly(oxymethylene-oxytetramethylene),Poly(oxymethylene-oxytetramethylene)
Poly(propylene glycol),Poly(propylene glycol)
Poly(tetrahydrofuran),Poly(tetrahydrofuran)
Poly(trimethylene glycol),Poly(trimethylene glycol)
"Poly[1,1-bis(chloromethyl)trimethylene oxide]","Poly[1,1-bis(chloromethyl)trimethylene oxide]"
PEK - Poly(ether ketone),PEK - Poly(ether ketone)
PEKK - Poly(ether ketone ketone),PEKK - Poly(ether ketone ketone)
PEEK - Poly(ether ether ketone),PEEK - Poly(ether ether ketone)
Poly(ethyleneketone),Poly(ethyleneketone)
Poly(propyleneketone),Poly(propyleneketone)
Poly(ether ether sulfone),Poly(ether ether sulfone)
Poly(ethersulfone),Poly(ethersulfone)
Poly(phenylsulfone),Poly(phenylsulfone)
Bisphenol A Polysulfone,Bisphenol A Polysulfone
PoIy(1-chloro-1-butenylene) (Polychloroprene),PoIy(1-chloro-1-butenylene) (Polychloroprene)
Poly(1-bromo-1-butenylene) (Polybromoprene),Poly(1-bromo-1-butenylene) (Polybromoprene)
Poly(4-bromostyrene),Poly(4-bromostyrene)
Poly(2-chlorostyrene),Poly(2-chlorostyrene)
Poly(3-chlorostyrene),Poly(3-chlorostyrene)
Poly(4-chlorostyrene),Poly(4-chlorostyrene)
"Poly(2,5-difluorostyrene)","Poly(2,5-difluorostyrene)"
Poly(4-fluorostyrene),Poly(4-fluorostyrene)
Poly(2-hydroxyethyl acrylate),Poly(2-hydroxyethyl acrylate)
Poly(2-hydroxyethyl methacrylate),Poly(2-hydroxyethyl methacrylate)
Poly(2-hydroxypropyl methacrylate),Poly(2-hydroxypropyl methacrylate)
"Poly[(diethylene glycol)-alt-(1,6-hexamethylene diisocyanate)]","Poly[(diethylene glycol)-alt-(1,6-hexamethylene diisocyanate)]"
"Poly[(tetraethylene glycol)-alt-(1,6-hexamethylene diisocyanate)]","Poly[(tetraethylene glycol)-alt-(1,6-hexamethylene diisocyanate)]"
"Poly[(1,4-butanediol)-alt-(4,4'-diphenylmethane diisocyanate)]","Poly[(1,4-butanediol)-alt-(4,4'-diphenylmethane diisocyanate)]"
"Poly[(ethylene glycol)-alt-(4,4'-diphenylmethane diisocyanate)]","Poly[(ethylene glycol)-alt-(4,4'-diphenylmethane diisocyanate)]"
"Poly[(polytetrahydrofuran 1000)-alt-(4,4'-diphenylmethane diisocyanate)]","Poly[(polytetrahydrofuran 1000)-alt-(4,4'-diphenylmethane diisocyanate)]"
Poly(Bisphenol A isophthalate),Poly(Bisphenol A isophthalate)
Poly(butylene isophthalate),Poly(butylene isophthalate)
Poly(ethylene isophthalate),Poly(ethylene isophthalate)
Poly[dimethyl itaconate],Poly[dimethyl itaconate]
Poly[di(n-propyl) itaconate],Poly[di(n-propyl) itaconate]
Poly[di(n-butyl) itaconate],Poly[di(n-butyl) itaconate]
Poly[di(n-hexyl) itaconate],Poly[di(n-hexyl) itaconate]
Poly(N-acetylmethacrylamide),Poly(N-acetylmethacrylamide)
Poly(N-benzyl methacrylamide),Poly(N-benzyl methacrylamide)
Poly(methacrylamide),Poly(methacrylamide)
Poly(N-tert-butylmethacrylamide),Poly(N-tert-butylmethacrylamide)
Poly(methacrylic acid),Poly(methacrylic acid)
Poly(benzyl methacrylate),Poly(benzyl methacrylate)
Poly(butyl methacrylate),Poly(butyl methacrylate)
Poly(cyclohexyl methacrylate),Poly(cyclohexyl methacrylate)
Poly(decylmethacrylate),Poly(decylmethacrylate)
Poly(dodecylmethacrylate),Poly(dodecylmethacrylate)
Poly(2-ethoxyethyl methacrylate),Poly(2-ethoxyethyl methacrylate)
Poly(ethyl methacrylate),Poly(ethyl methacrylate)
Poly(hexyl methacrylate),Poly(hexyl methacrylate)
Poly(isobutyl methacrylate),Poly(isobutyl methacrylate)
Poly(isopropyl methacrylate),Poly(isopropyl methacrylate)
Poly(octadecyl methacrylate),Poly(octadecyl methacrylate)
Poly(octyl methacrylate),Poly(octyl methacrylate)
Poly(2-phenylethyl methacrylate),Poly(2-phenylethyl methacrylate)
Poly(phenyl methacrylate),Poly(phenyl methacrylate)
Poly(propyl methacrylate),Poly(propyl methacrylate)
Poly(2-chloroethyl methacrylate),Poly(2-chloroethyl methacrylate)
Poly(sec-butyl methacrylate),Poly(sec-butyl methacrylate)
Poly(4-tert-butylcyclohexyl methacrylate),Poly(4-tert-butylcyclohexyl methacrylate)
Poly(tert-butyl methacrylate),Poly(tert-butyl methacrylate)
"Poly(2,2,3,3-tetrafluoropropyl methacrylate)","Poly(2,2,3,3-tetrafluoropropyl methacrylate)"
Poly(2-methoxystyrene),Poly(2-methoxystyrene)
Poly(α-methylstyrene),Poly(α-methylstyrene)
Poly(2-methylstyrene),Poly(2-methylstyrene)
Poly(3-methylstyrene),Poly(3-methylstyrene)
Poly(4-methylstyrene),Poly(4-methylstyrene)
Polystyrene,Polystyrene
Poly(4-tert-butylstyrene),Poly(4-tert-butylstyrene)
Poly(p-phenylene),Poly(p-phenylene)
Poly(p-phenylene vinylene),Poly(p-phenylene vinylene)
Poly(p-xylene),Poly(p-xylene)
Poly(2-chloro-p-xylylene),Poly(2-chloro-p-xylylene)
"Poly(2,6-dimethyl-p-phenylene oxide)","Poly(2,6-dimethyl-p-phenylene oxide)"
"Poly(2,6-diphenyl-p-phenylene oxide)","Poly(2,6-diphenyl-p-phenylene oxide)"
Poly(p-phenylene oxide),Poly(p-phenylene oxide)
Poly(butylene sebacate),Poly(butylene sebacate)
Poly(ethylene sebacate),Poly(ethylene sebacate)
Poly(hexylene sebacate),Poly(hexylene sebacate)
Poly(diethylsiloxane) (PDES),Poly(diethylsiloxane) (PDES)
"Poly(1,4-butylene succinate)","Poly(1,4-butylene succinate)"
Poly(ethylene succinate),Poly(ethylene succinate)
"Poly(1,6-hexylene succinate)","Poly(1,6-hexylene succinate)"
Poly(trimethylene succinate),Poly(trimethylene succinate)
Poly(Bisphenol A terephthalate),Poly(Bisphenol A terephthalate)
Poly(cyclohexylenedimethylene terephthalate),Poly(cyclohexylenedimethylene terephthalate)
Poly(trimethylene terephthalate),Poly(trimethylene terephthalate)
"Poly(thio-1,4-phenylene)","Poly(thio-1,4-phenylene)"
Poly(ethylene sulfide),Poly(ethylene sulfide)
Poly(propylene sulfide),Poly(propylene sulfide)
Poly(4-vinyl phenol),Poly(4-vinyl phenol)
Poly(vinyl butyral),Poly(vinyl butyral)
Poly(vinyl formal),Poly(vinyl formal)
Poly(vinyl acetate),Poly(vinyl acetate)
Poly(vinyl benzoate),Poly(vinyl benzoate)
Poly(vinyl butyrate),Poly(vinyl butyrate)
Poly(vinyl caproate),Poly(vinyl caproate)
Poly(vinyl formate),Poly(vinyl formate)
Poly(vinyl propionate),Poly(vinyl propionate)
Poly(vinyl stearate),Poly(vinyl stearate)
Poly(vinyl valerate),Poly(vinyl valerate)
Poly(butyl vinyl ether),Poly(butyl vinyl ether)
Poly(ethyl vinyl ether),Poly(ethyl vinyl ether)
Poly(hexyl vinyl ether),Poly(hexyl vinyl ether)
Poly(isobutyl vinyl ether),Poly(isobutyl vinyl ether)
Poly(isopropyl vinyl ether),Poly(isopropyl vinyl ether)
Poly(methyl vinyl ether),Poly(methyl vinyl ether)
Poly(octyl vinyl ether),Poly(octyl vinyl ether)
Poly(propyl vinyl ether),Poly(propyl vinyl ether)
Poly(sec-butyl vinyl ether),Poly(sec-butyl vinyl ether)
Poly(vinyl ethyl ketone),Poly(vinyl ethyl ketone)
Poly(vinyl methyl ketone),Poly(vinyl methyl ketone)
Poly(methyl isopropenyl ketone),Poly(methyl isopropenyl ketone)
Poly(vinyl phenyl ketone),Poly(vinyl phenyl ketone)
Poly(vinyl pyrrolidone),Poly(vinyl pyrrolidone)
Poly(vinyl butyl sulfide),Poly(vinyl butyl sulfide)
Poly(vinyl ethyl sulfide),Poly(vinyl ethyl sulfide)
Poly(vinyl methyl sulfide),Poly(vinyl methyl sulfide)
Poly(vinyl phenyl sulfide),Poly(vinyl phenyl sulfide)
Poly(vinyl propyl sulfide),Poly(vinyl propyl sulfide)
polyhydroxyalkanoate (PHA),polyhydroxyalkanoate (PHA)
Phenol formaldehyde,Phenol formaldehyde
Urea-formaldehyde,Urea-formaldehyde
Melamine-formaldehyde,Melamine-formaldehyde
Isobutylene-isoprene,Isobutylene-isoprene
Ethylene-propylene,Ethylene-propylene
Styrene-maleic,Styrene-maleic
Styrene-isoprene,Styrene-isoprene
EPDM rubber (ethylene propylene diene monomer rubber),EPDM rubber (ethylene propylene diene monomer rubber)
Other Material,Other Material
Polyesters,Polyesters
Polyolefins (POLYALKENES) ,Polyolefins (POLYALKENES) 
Polyamides (POLYLACTAMS),Polyamides (POLYLACTAMS)
Other Plastic,Other Plastic
Polystyrenes (POLYPHENYLETHYLENES),Polystyrenes (POLYPHENYLETHYLENES)
Cellulose Derivatives (Ether Cellulose),Cellulose Derivatives (Ether Cellulose)
Polyhaloolefins (Vinylhalides),Polyhaloolefins (Vinylhalides)
"PolyDiglycidyl Ethers (POLYEPOXIDES, POLYHYDROXYETHERS, Phenoxy)","PolyDiglycidyl Ethers (POLYEPOXIDES, POLYHYDROXYETHERS, Phenoxy)"
Polyacrylamides,Polyacrylamides
Polyterephthalates,Polyterephthalates
Polyurethanes (isocyanates),Polyurethanes (isocyanates)
Polyacrylonitriles (Nitriles),Polyacrylonitriles (Nitriles)
Polysiloxanes,Polysiloxanes
Polyacrylates (Propenoates),Polyacrylates (Propenoates)
Polyolefins,Polyolefins
Polymethacrylates,Polymethacrylates
Polycarbonates,Polycarbonates
Polyvinylalcohols,Polyvinylalcohols
Not Plastic,Not Plastic
Polyolefins (POLYALKENES),Polyolefins (POLYALKENES)
Polyanhydrides,Polyanhydrides
"Polydienes (Butadienes, Isoprenes)","Polydienes (Butadienes, Isoprenes)"
Polyfumarates (POLYBUTENEDIOATES),Polyfumarates (POLYBUTENEDIOATES)
Polycyanoacrylates,Polycyanoacrylates
"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)","Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)"
Poly(Ether)ketones (POLYKETONES),Poly(Ether)ketones (POLYKETONES)
Polyethersulfones (POLYSULFONE),Polyethersulfones (POLYSULFONE)
Polyhalodienes,Polyhalodienes
Polyhalostyrenes,Polyhalostyrenes
Polyhydroxy(meth)acrylates,Polyhydroxy(meth)acrylates
Polyisophthalates,Polyisophthalates
POLYITACONATES (POLYMETHYLENE SUCCINATES),POLYITACONATES (POLYMETHYLENE SUCCINATES)
Polymethacrylamides,Polymethacrylamides
"POLYSTYRENES (POLYPHENYLETHYLENES, α-Methylstyrene)","POLYSTYRENES (POLYPHENYLETHYLENES, α-Methylstyrene)"
Polyphenylenes (POLYAROMATICS),Polyphenylenes (POLYAROMATICS)
Polyphenylethers (POLYPHENYLENEOXIDE),Polyphenylethers (POLYPHENYLENEOXIDE)
Polysebacates,Polysebacates
Polysuccinates,Polysuccinates
Polythioethers (Sulfides),Polythioethers (Sulfides)
Polyvinylesters,Polyvinylesters
Polyvinylethers,Polyvinylethers
Polyvinylketones,Polyvinylketones
Polyvinylsulfides,Polyvinylsulfides
