X1,X2,X3,X4
plastic,Polyurethanes (isocyanates),"Poly[(polytetrahydrofuran 1000)-alt-(4,4'-diphenylmethane diisocyanate)]",
plastic,Polyisophthalates,Poly(Bisphenol A isophthalate),
plastic,Polyisophthalates,Poly(butylene isophthalate),
plastic,Polyisophthalates,Poly(ethylene isophthalate),
plastic,POLYITACONATES (POLYMETHYLENE SUCCINATES),Poly[dimethyl itaconate],
plastic,POLYITACONATES (POLYMETHYLENE SUCCINATES),Poly[di(n-propyl) itaconate],
plastic,POLYITACONATES (POLYMETHYLENE SUCCINATES),Poly[di(n-butyl) itaconate],
plastic,POLYITACONATES (POLYMETHYLENE SUCCINATES),Poly[di(n-hexyl) itaconate],
plastic,Polymethacrylamides,Poly(N-acetylmethacrylamide),
plastic,Polymethacrylamides,Poly(N-benzyl methacrylamide),
plastic,Polymethacrylamides,Poly(methacrylamide),
plastic,Polymethacrylamides,Poly(N-tert-butylmethacrylamide),
plastic,Polymethacrylates,Poly(methacrylic acid),
plastic,Polymethacrylates,Poly(benzyl methacrylate),
plastic,Polymethacrylates,Poly(butyl methacrylate),
plastic,Polymethacrylates,Poly(cyclohexyl methacrylate),
plastic,Polymethacrylates,Poly(decylmethacrylate),
plastic,Polymethacrylates,Poly(dodecylmethacrylate),
plastic,Polymethacrylates,Poly(2-ethoxyethyl methacrylate),
plastic,Polymethacrylates,Poly(ethyl methacrylate),
plastic,Polymethacrylates,Poly(hexyl methacrylate),
plastic,Polymethacrylates,Poly(isobutyl methacrylate),
plastic,Polymethacrylates,Poly(isopropyl methacrylate),
plastic,Polymethacrylates,Poly(octadecyl methacrylate),
plastic,Polymethacrylates,Poly(octyl methacrylate),
plastic,Polymethacrylates,Poly(2-phenylethyl methacrylate),
plastic,Polymethacrylates,Poly(phenyl methacrylate),
plastic,Polymethacrylates,Poly(propyl methacrylate),
plastic,Polymethacrylates,Poly(2-chloroethyl methacrylate),
plastic,Polymethacrylates,Poly(sec-butyl methacrylate),
plastic,Polymethacrylates,Poly(4-tert-butylcyclohexyl methacrylate),
plastic,Polymethacrylates,Poly(tert-butyl methacrylate),
plastic,Polymethacrylates,"Poly(2,2,3,3-tetrafluoropropyl methacrylate)",
plastic,"POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)",Poly(2-methoxystyrene),
plastic,"POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)",Poly(_-methylstyrene),
plastic,"POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)",Poly(2-methylstyrene),
plastic,"POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)",Poly(3-methylstyrene),
plastic,"POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)",Poly(4-methylstyrene),
plastic,"POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)",Polystyrene,
plastic,"POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)",Poly(4-tert-butylstyrene),
plastic,Polyphenylenes (POLYAROMATICS),Poly(p-phenylene),
plastic,Polyphenylenes (POLYAROMATICS),Poly(p-phenylene vinylene),
plastic,Polyphenylenes (POLYAROMATICS),Poly(p-xylene),
plastic,Polyphenylenes (POLYAROMATICS),Poly(2-chloro-p-xylylene),
plastic,Polyphenylethers (POLYPHENYLENEOXIDE),"Poly(2,6-dimethyl-p-phenylene oxide)",
plastic,Polyphenylethers (POLYPHENYLENEOXIDE),"Poly(2,6-diphenyl-p-phenylene oxide)",
plastic,Polyphenylethers (POLYPHENYLENEOXIDE),Poly(p-phenylene oxide),
plastic,Polysebacates,Poly(butylene sebacate),
plastic,Polysebacates,Poly(ethylene sebacate),
plastic,Polysebacates,Poly(hexylene sebacate),
plastic,Polysiloxanes,Poly(diethylsiloxane) (PDES),
plastic,Polysuccinates,"Poly(1,4-butylene succinate)",
plastic,Polysuccinates,Poly(ethylene succinate),
plastic,Polysuccinates,"Poly(1,6-hexylene succinate)",
plastic,Polysuccinates,Poly(trimethylene succinate),
plastic,Polyterephthalates,Poly(Bisphenol A terephthalate),
plastic,Polyterephthalates,Poly(cyclohexylenedimethylene terephthalate),
plastic,Polyterephthalates,Poly(trimethylene terephthalate),
plastic,Polythioethers (Sulfides),"Poly(thio-1,4-phenylene)",
plastic,Polythioethers (Sulfides),Poly(ethylene sulfide),
plastic,Polythioethers (Sulfides),Poly(propylene sulfide),
plastic,Polyvinylalcohols,Poly(4-vinyl phenol),
plastic,Polyvinylalcohols,Poly(vinyl butyral),
plastic,Polyvinylalcohols,Poly(vinyl formal),
plastic,Polyvinylesters,Poly(vinyl acetate),
plastic,Polyvinylesters,Poly(vinyl benzoate),
plastic,Polyvinylesters,Poly(vinyl butyrate),
plastic,Polyvinylesters,Poly(vinyl caproate),
plastic,Polyvinylesters,Poly(vinyl formate),
plastic,Polyvinylesters,Poly(vinyl propionate),
plastic,Polyvinylesters,Poly(vinyl stearate),
plastic,Polyvinylesters,Poly(vinyl valerate),
plastic,Polyvinylethers,Poly(butyl vinyl ether),
plastic,Polyvinylethers,Poly(ethyl vinyl ether),
plastic,Polyvinylethers,Poly(hexyl vinyl ether),
plastic,Polyvinylethers,Poly(isobutyl vinyl ether),
plastic,Polyvinylethers,Poly(isopropyl vinyl ether),
plastic,Polyvinylethers,Poly(methyl vinyl ether),
plastic,Polyvinylethers,Poly(octyl vinyl ether),
plastic,Polyvinylethers,Poly(propyl vinyl ether),
plastic,Polyvinylethers,Poly(sec-butyl vinyl ether),
plastic,Polyvinylketones,Poly(vinyl ethyl ketone),
plastic,Polyvinylketones,Poly(vinyl methyl ketone),
plastic,Polyvinylketones,Poly(methyl isopropenyl ketone),
plastic,Polyvinylketones,Poly(vinyl phenyl ketone),
plastic,Polyvinylketones,Poly(vinyl pyrrolidone),
plastic,Polyvinylsulfides,Poly(vinyl butyl sulfide),
plastic,Polyvinylsulfides,Poly(vinyl ethyl sulfide),
plastic,Polyvinylsulfides,Poly(vinyl methyl sulfide),
plastic,Polyvinylsulfides,Poly(vinyl phenyl sulfide),
plastic,Polyvinylsulfides,Poly(vinyl propyl sulfide),
plastic,Other Plastic,polyhydroxyalkanoate (PHA),
plastic,Other Plastic,Phenol formaldehyde,
plastic,Other Plastic,Urea-formaldehyde,
plastic,Other Plastic,Melamine-formaldehyde,
plastic,Other Plastic,Isobutylene-isoprene,
plastic,Other Plastic,Ethylene-propylene,
plastic,Other Plastic,Styrene-maleic,
plastic,Other Plastic,Styrene-isoprene,
plastic,Other Plastic,EPDM rubber (ethylene propylene diene monomer rubber),
