Material,Item,Organization
glass/ceramics,glass or ceramic fragments >2.5cm,JRC
glass/ceramics,large glass objects (specify),JRC
glass/ceramics,other glass items,JRC
unidentified,"other medical items (swabs, bandaging, adhesive plaster etc.)",JRC
unidentified,slack/coal,JRC
unidentified,paraffin/wax,JRC
unidentified,oil/tar,JRC
unidentified,food waste (galley waste),JRC
unidentified,"various rubbish (worked wood, metal parts)",JRC
unidentified,"other (glass, metal, tar)<5mm",JRC
other,construction debris,Keep America Beautiful
other,tobacco producs,Keep America Beautiful
paper,,Keep America Beautiful
plastic,,Keep America Beautiful
glass,,Keep America Beautiful
metal,vehicle debris,Keep America Beautiful
organic,,Keep America Beautiful
rubber,,Lee
cloth,,Lee
wood,,Lee
vinyl,,Lee
metal,,Lee
plastic,,Lee
others,,Lee
,fish pot,Lee
,net,Lee
,octopus jar,Lee
,fishing line,Lee
,rope,Lee
,drum,Lee
,glass bottle,Lee
,fish pot (eel),Lee
,fish pot (net),Lee
plastic,4/6 pack yokes,Marine Conservation Society
plastic,bags (including supermarket),Marine Conservation Society
plastic,"bottles, container and drums",Marine Conservation Society
plastic,drinks,Marine Conservation Society
plastic,"food (e.g. pots, tubs, sachets)",Marine Conservation Society
plastic,foreign,Marine Conservation Society
plastic,oil,Marine Conservation Society
plastic,toiletries,Marine Conservation Society
plastic,caps/lids,Marine Conservation Society
plastic,cigarette lighters/tobacco pouches,Marine Conservation Society
plastic,combs/hairbrushes/sunglasses,Marine Conservation Society
plastic,crisp/sweet/lolly/sandwich wrappers,Marine Conservation Society
plastic,cutlery/trays/straws/cups,Marine Conservation Society
plastic,fish boxes,Marine Conservation Society
plastic,fishing line (anglers),Marine Conservation Society
plastic,fishing net and net pieces <50 cm,Marine Conservation Society
plastic,fishing net and net pieces >50 cm,Marine Conservation Society
plastic,floats (fishing buoys)/reels,Marine Conservation Society
plastic,industrial packaging/crates/sheeting,Marine Conservation Society
plastic,lobster/crab pots & tops,Marine Conservation Society
plastic,mesh bags (e.g. vegetable),Marine Conservation Society
plastic,pens,Marine Conservation Society
plastic,rope diameter >1 cm,Marine Conservation Society
plastic,string and cord diameter <1cm,Marine Conservation Society
plastic,shoes/sandals,Marine Conservation Society
plastic,shotgun cartridges,Marine Conservation Society
plastic,strapping bands,Marine Conservation Society
plastic,toys/party poppers/ fireworks/dummies,Marine Conservation Society
plastic,traffic cones,Marine Conservation Society
plastic,plastic pieces <2.5 cm,Marine Conservation Society
plastic,plastic pieces >2.5 cm,Marine Conservation Society
plastic,other (specify),Marine Conservation Society
polystyrene,buoys,Marine Conservation Society
polystyrene,fast food containers/cups,Marine Conservation Society
polystyrene,foam/sponge/insulation,Marine Conservation Society
polystyrene,packaging,Marine Conservation Society
polystyrene,polystyrene pieces <50 cm,Marine Conservation Society
polystyrene,other (specify),Marine Conservation Society
rubber,balloons/balloon string,Marine Conservation Society
rubber,boots,Marine Conservation Society
rubber,gloves (heavy duty),Marine Conservation Society
rubber,gloves (light weight),Marine Conservation Society
rubber,rubber pieces <50 cm,Marine Conservation Society
rubber,tyres without holes/wheels,Marine Conservation Society
rubber,tyres with holes,Marine Conservation Society
rubber,other (specify),Marine Conservation Society
cloth,cloth pieces,Marine Conservation Society
cloth,clothing/shoes/beach towels,Marine Conservation Society
cloth,furnishings,Marine Conservation Society
cloth,sacking,Marine Conservation Society
cloth,other (specify),Marine Conservation Society
metal,aerosol cans,Marine Conservation Society
metal,BBQ's (disposable),Marine Conservation Society
metal,bottle caps,Marine Conservation Society
metal,car parts/car batteries,Marine Conservation Society
metal,drink cans,Marine Conservation Society
metal,fishing weights/hooks/lures,Marine Conservation Society
metal,foil wrappers,Marine Conservation Society
metal,food cans,Marine Conservation Society
metal,lobster/crab pots &tops,Marine Conservation Society
metal,oil drums,Marine Conservation Society
metal,scrap/metal appliances/paint tins,Marine Conservation Society
metal,household batteries,Marine Conservation Society
metal,wire/wire mesh/metal pieces,Marine Conservation Society
metal,other (specify),Marine Conservation Society
medical,inhaler,Marine Conservation Society
medical,plasters,Marine Conservation Society
medical,syringes,Marine Conservation Society
medical,other (specify),Marine Conservation Society
sanitary,condoms,Marine Conservation Society
sanitary,cotton bud sticks,Marine Conservation Society
sanitary,nappies,Marine Conservation Society
sanitary,tampon applicators/tampons,Marine Conservation Society
sanitary,toilet fresheners,Marine Conservation Society
sanitary,towels/panty liners/backing strips,Marine Conservation Society
sanitary,wet wipes,Marine Conservation Society
sanitary,other (specify),Marine Conservation Society
animal faeces,in bags,Marine Conservation Society
animal faeces,not in bags,Marine Conservation Society
paper,bags,Marine Conservation Society
paper,cardboard,Marine Conservation Society
paper,carton/purepack (e.g. milk),Marine Conservation Society
paper,carton/tetrapack. (e.g. fruit juice),Marine Conservation Society
paper,cigarette packets,Marine Conservation Society
paper,cigarette stubs,Marine Conservation Society
paper,cups,Marine Conservation Society
paper,newspapers/magazines,Marine Conservation Society
paper,other (specify),Marine Conservation Society
wood,corks,Marine Conservation Society
wood,lobster/crab pots & tops,Marine Conservation Society
wood,pallets/crates,Marine Conservation Society
wood,ice lolly sticks/chip forks,Marine Conservation Society
wood,paint brushes,Marine Conservation Society
wood,wood pieces (not twigs etc.),Marine Conservation Society
wood,other (specify),Marine Conservation Society
glass,"bottles, container and drums",Marine Conservation Society
glass,light bulbs/tubes,Marine Conservation Society
glass,glass pieces,Marine Conservation Society
pottery/ceramic,any pottery or ceramic,Marine Conservation Society
,plastic bags,Maryland Department of the Environment
,soft drink cans,Maryland Department of the Environment
,juice bottles,Maryland Department of the Environment
,food wrappers,Maryland Department of the Environment
,beverage containers,Maryland Department of the Environment
,"toys, balls",Maryland Department of the Environment
,home food packaging,Maryland Department of the Environment
,"styrofoam chunks, large",Maryland Department of the Environment
,clothing,Maryland Department of the Environment
,liquor bottles,Maryland Department of the Environment
,water bottles,Maryland Department of the Environment
,styrofoam cups,Maryland Department of the Environment
,take-out packaging,Maryland Department of the Environment
,toiletries,Maryland Department of the Environment
,misc. recreation,Maryland Department of the Environment
,"cups, lids, straws",Maryland Department of the Environment
,"styrofoam chunks, small",Maryland Department of the Environment
,other fabric,Maryland Department of the Environment
,beer cans,Maryland Department of the Environment
,sport drink bottles,Maryland Department of the Environment
,plastic cups,Maryland Department of the Environment
,cigarette materials,Maryland Department of the Environment
,drugs,Maryland Department of the Environment
,"newspaper, books",Maryland Department of the Environment
,styrofoam plates,Maryland Department of the Environment
,"misc. jugs, cartons",Maryland Department of the Environment
,auto products,Maryland Department of the Environment
,soft drink bottles,Maryland Department of the Environment
,juices cans,Maryland Department of the Environment
,paper cups,Maryland Department of the Environment
,napkins,Maryland Department of the Environment
,CDs,Maryland Department of the Environment
,"advertisements, signs",Maryland Department of the Environment
,styrofoam packaging,Maryland Department of the Environment
,"other metal, foil",Maryland Department of the Environment
,"vehicle debris, large",Maryland Department of the Environment
,"vehicle debris, small",Maryland Department of the Environment
,"construction material, large",Maryland Department of the Environment
,"construction material, small",Maryland Department of the Environment
,"appliances, bikes, carts",Maryland Department of the Environment
,carpet,Maryland Department of the Environment
,misc. large debris,Maryland Department of the Environment
,misc plastic,Maryland Department of the Environment
plastic,,McCormick
rubber,,McCormick
metal,,McCormick
ceramic,,McCormick
styro.,,McCormick
,plastic fragments (large; >2.5 cm),Nelms
,plastic fragments (small; <2.5cm),Nelms
,plastic caps,Nelms
polystyrene foam,polystyrene (small; <50 cm),Nelms
,crisp packets,Nelms
,fishing net (small; <50 cm),Nelms
,plastic string,Nelms
,cotton buds,Nelms
,fishing line,Nelms
,cigarette stubs,Nelms
,plastic cutlery,Nelms
,glass fragments,Nelms
,cloth pieces,Nelms
,plastic bags,Nelms
,metal drinks can,Nelms
,plastic rope,Nelms
,fishing net (large; >50 cm),Nelms
,wood pieces,Nelms
plastic,plastic fragments,NOAA
plastic,food wrappers,NOAA
plastic,beverage bottles,NOAA
plastic,other jugs or containers,NOAA
plastic,bottle or container caps,NOAA
plastic,cigar tips,NOAA
plastic,cigarettes,NOAA
plastic,disposable cigarette lighters,NOAA
plastic,6-pack rings,NOAA
plastic,bags,NOAA
plastic,plastic rope/small net pieces,NOAA
plastic,buoys & floats,NOAA
plastic,fishing lures & line,NOAA
plastic,cups (including polystyrene/foamed plastic),NOAA
plastic,plastic utensils,NOAA
plastic,straws,NOAA
plastic,balloons,NOAA
plastic,personal care products,NOAA
plastic,other:,NOAA
metal,aluminum/tin cans,NOAA
metal,aerosol cans,NOAA
metal,metal fragments,NOAA
metal,other:,NOAA
glass,beverage bottles,NOAA
glass,jars,NOAA
glass,glass fragments,NOAA
glass,other:,NOAA
rubber,flip-flops,NOAA
rubber,gloves,NOAA
rubber,tires,NOAA
rubber,rubber fragments,NOAA
rubber,other:,NOAA
processed lumber,cardboard cartons,NOAA
processed lumber,paper and cardboard,NOAA
processed lumber,paper bags,NOAA
processed lumber,lumber/building material,NOAA
processed lumber,other:,NOAA
cloth/fabric,clothing & shoes,NOAA
cloth/fabric,gloves (non-rubber),NOAA
cloth/fabric,towels/rags,NOAA
cloth/fabric,rope/net pieces (non-nylon),NOAA
cloth/fabric,fabric pieces,NOAA
cloth/fabric,other:,NOAA
,cigarette butts,Ocean Conservancy
,"food wrappers (candy, chips, etc.)",Ocean Conservancy
,take out/away containers (plastic),Ocean Conservancy
,take out/away containers (foam),Ocean Conservancy
,bottle caps (plastic),Ocean Conservancy
,bottle caps (metal),Ocean Conservancy
,lids (plastic),Ocean Conservancy
,straws/stirrers,Ocean Conservancy
,"forks, knives, spoons",Ocean Conservancy
,beverage bottles (plastic),Ocean Conservancy
,beverage bottles (glass),Ocean Conservancy
,beverage cans,Ocean Conservancy
,grocery bags (plastic),Ocean Conservancy
,other plastic bags,Ocean Conservancy
,paper bags,Ocean Conservancy
,cups & plates (paper),Ocean Conservancy
,cups & plates (plastic),Ocean Conservancy
,cups & plates (foam),Ocean Conservancy
,"fishing buoys, pots & traps",Ocean Conservancy
,fishing net & pieces,Ocean Conservancy
,fishing line,Ocean Conservancy
,rope,Ocean Conservancy
,6-pack holders,Ocean Conservancy
,other plastic/foam packaging,Ocean Conservancy
,"other plastic bottles (oil, bleach, etc.)",Ocean Conservancy
,strapping bands,Ocean Conservancy
,tobacco packaging/wrap,Ocean Conservancy
,"appliances (refrigerators, washers, etc.)",Ocean Conservancy
,balloons,Ocean Conservancy
,cigar tips,Ocean Conservancy
,cigarette lighters,Ocean Conservancy
,construction materials,Ocean Conservancy
,fireworks,Ocean Conservancy
,tires,Ocean Conservancy
,condoms,Ocean Conservancy
,diapers,Ocean Conservancy
,syringes,Ocean Conservancy
,tampons/tampon applicators,Ocean Conservancy
,foam pieces,Ocean Conservancy
,glass pieces,Ocean Conservancy
,plastic pieces,Ocean Conservancy
plastic,,Oigman
paper,,Oigman
glass,,Oigman
others,,Oigman
wood,,Oigman
metal,,Oigman
,construction material,Oigman
,cigarette butts,Open Litter Map
,lighters,Open Litter Map
,cigarette box,Open Litter Map
,tobacco pouch,Open Litter Map
,papers filters,Open Litter Map
,plastic smoking pk,Open Litter Map
,filters,Open Litter Map
,filter box,Open Litter Map
,smoking other,Open Litter Map
,sweet wrappers,Open Litter Map
,cardboard food packaging,Open Litter Map
,paper food packaging,Open Litter Map
,plastic food packaging,Open Litter Map
,plastic cutlery,Open Litter Map
,crisp small,Open Litter Map
,crisp large,Open Litter Map
,styrofoam plate,Open Litter Map
,napkins,Open Litter Map
,sauce packet,Open Litter Map
,glass jar,Open Litter Map
,glass jar lid,Open Litter Map
,food other,Open Litter Map
,coffee cups,Open Litter Map
,coffee lids,Open Litter Map
,coffee other,Open Litter Map
,beer can,Open Litter Map
,beer bottle,Open Litter Map
,spirit bottle,Open Litter Map
,wine bottle,Open Litter Map
,broken glass,Open Litter Map
,paper card alcohol packaging,Open Litter Map
,paper alcohol packaging,Open Litter Map
,bottle tops,Open Litter Map
,alcohol other,Open Litter Map
,plastic water bottle,Open Litter Map
,fizzy drink bottle,Open Litter Map
,bottle lid,Open Litter Map
,bottle label,Open Litter Map
,tin can,Open Litter Map
,sports drink,Open Litter Map
,staws,Open Litter Map
,plastic cups,Open Litter Map
,plastic cup tops,Open Litter Map
,milk bottle,Open Litter Map
,milk carton,Open Litter Map
,paper cups,Open Litter Map
,juice cartons,Open Litter Map
,juice bottles,Open Litter Map
,juice packet,Open Litter Map
,ice tea bottles,Open Litter Map
,ice tea can,Open Litter Map
,energy can,Open Litter Map
,soft drink other,Open Litter Map
,condoms,Open Litter Map
,mental,Open Litter Map
,deoderant,Open Litter Map
,ear swabs,Open Litter Map
,tooth pick,Open Litter Map
,tooth brush,Open Litter Map
,sanitary other,Open Litter Map
,dog shit,Open Litter Map
,random dump,Open Litter Map
,no id plastic,Open Litter Map
,metal object,Open Litter Map
,plastic bags,Open Litter Map
,election posters,Open Litter Map
,forsale posters,Open Litter Map
,books,Open Litter Map
,magazines,Open Litter Map
,paper,Open Litter Map
,stationary,Open Litter Map
,washing up,Open Litter Map
,hair tie,Open Litter Map
,ear plugs,Open Litter Map
,batteries,Open Litter Map
,elec small,Open Litter Map
,elec large,Open Litter Map
,other unknown,Open Litter Map
,microplastic,Open Litter Map
,medium plastics,Open Litter Map
,macroplastics,Open Litter Map
,rope small,Open Litter Map
,rope medium,Open Litter Map
,rope large,Open Litter Map
,fishing gear nets,Open Litter Map
,buoys,Open Litter Map
,degraded plastic bottle,Open Litter Map
,degraded plastic bag,Open Litter Map
,degraded straws,Open Litter Map
,degraded lighters,Open Litter Map
,balloons,Open Litter Map
,shotgun cartridges,Open Litter Map
plastic/polystyrene,4/6-pack yokes,OSPAR
plastic/polystyrene,bags (e.g. shopping),OSPAR
plastic/polystyrene,"small plastic bags, e.g. freezer bags",OSPAR
plastic/polystyrene,plastic bag ends,OSPAR
plastic/polystyrene,"drinks (bottles, containers and drums)",OSPAR
plastic/polystyrene,"cleaner (bottles, containers and drums)",OSPAR
plastic/polystyrene,food containers incl. fast food containers,OSPAR
plastic/polystyrene,"cosmetics (bottles & containers e.g. sun lotion,
shampoo, shower gel, deodorant)",OSPAR
plastic/polystyrene,engine oil containers and drums <50 cm,OSPAR
plastic/polystyrene,engine oil containers and drums > 50 cm,OSPAR
plastic/polystyrene,jerry cans (square plastic containers with handle),OSPAR
plastic/polystyrene,injection gun containers,OSPAR
plastic/polystyrene,"other bottles, containers and drums",OSPAR
plastic/polystyrene,crates,OSPAR
plastic/polystyrene,car parts,OSPAR
plastic/polystyrene,caps/lids,OSPAR
plastic/polystyrene,cigarette lighters,OSPAR
plastic/polystyrene,pens,OSPAR
plastic/polystyrene,combs/hair brushes,OSPAR
plastic/polystyrene,crisp/sweet packets and lolly sticks,OSPAR
plastic/polystyrene,toys & party poppers,OSPAR
plastic/polystyrene,cups,OSPAR
plastic/polystyrene,cutlery/trays/straws,OSPAR
plastic/polystyrene,fertiliser/anima; deef bags,OSPAR
plastic/polystyrene,mesh vegetable bags,OSPAR
plastic/polystyrene,gloves (typical washing up gloves),OSPAR
plastic/polystyrene,gloves (indutrial/professional gloves),OSPAR
plastic/polystyrene,crab/lobster pots,OSPAR
plastic/polystyrene,lobster and fish tags,OSPAR
plastic/polystyrene,octopus pots,OSPAR
plastic/polystyrene,oyster netsor mussel bags including plastic stoppers,OSPAR
plastic/polystyrene,oyster trays (round from oyster cultures),OSPAR
plastic/polystyrene,plastic sheeting from mussel culture (Tahitians),OSPAR
plastic/polystyrene,rope (diameter more than 1 cm),OSPAR
plastic/polystyrene,string and cord (diameter less than 1 cm),OSPAR
plastic/polystyrene,nets and pieces of net < 50 cm,OSPAR
plastic/polystyrene,nets and pieces of net > 50 cm,OSPAR
plastic/polystyrene,tangled nets/cord/rope and string,OSPAR
plastic/polystyrene,fish boxes,OSPAR
plastic/polystyrene,fishing line (angling),OSPAR
plastic/polystyrene,light sticks (tubes with fluid),OSPAR
plastic/polystyrene,floats/buoys,OSPAR
plastic/polystyrene,buckets,OSPAR
plastic/polystyrene,strapping bands,OSPAR
plastic/polystyrene,"industrial packaging, plastic sheeting",OSPAR
plastic/polystyrene,fibre glass,OSPAR
plastic/polystyrene,hard hats,OSPAR
plastic/polystyrene,shotgun cartridges,OSPAR
plastic/polystyrene,shoes/sandals,OSPAR
plastic/polystyrene,foam sponge,OSPAR
plastic/polystyrene,"plastic/polystyrene pieces 0-2,5cm",OSPAR
plastic/polystyrene,"plastic/polystyrene pieces 2,5 cm > < 50 cm",OSPAR
plastic/polystyrene,plastic/polystyrene pieces > 50 cm,OSPAR
plastic/polystyrene,other plastic/polystyrene items (please specify in other item box*),OSPAR
rubber,"balloons, including plastic valves, ribbons, strings etc.",OSPAR
rubber,boots,OSPAR
rubber,tyres and belts,OSPAR
rubber,other rubber pieces (please specify in other item box*),OSPAR
